#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
UN_EMBARGO;UN Embargo;;;;;;;;;;;;;x
UN_ARMSEMBARGO;UN Arms Embargo;;;;;;;;;;;;;x
UN_NUCLEAREMBARGO;UN Nuclear Embargo;;;;;;;;;;;;;x
UN_EMBARGO_DELAY;UN Embargo Delay;;;;;;;;;;;;;x
EVTNAME108000;Nuclear Embargo Rumoured;;;;;;;;;;;;;x
EVTDESC108000;The international community is becoming increasingly concerned about our nuclear programme, and rumours are prevalent that some intend to support a UN resolution to place a nuclear embargo upon us.;;;;;;;;;;;;x;
EVTOPTA108000;Unfortunate;;;;;;;;;;;;;x
EVTNAME108001;Nuclear Embargo Considered;;;;;;;;;;;;;x
EVTDESC108001;AI Placeholder;;;;;;;;;;;;;x
EVTOPTA108001;A Good Idea;;;;;;;;;;;;;x
EVTOPTB108001;We Disagree;;;;;;;;;;;;;x
EVTNAME108010;Military Embargo Rumoured;;;;;;;;;;;;;x
EVTDESC108010;The international community is becoming increasingly concerned about our aggressive military behavour, and rumours are prevalent that some intend to support a UN resolution to place a military embargo upon us.;;;;;;;;;;;;;x
EVTOPTA108010;Unfortunate;;;;;;;;;;;;;x
EVTNAME108011;Military Embargo Considered;;;;;;;;;;;;;x
EVTDESC108011;AI Placeholder;;;;;;;;;;;;;x
EVTOPTA108011;A Good Idea;;;;;;;;;;;;;x
EVTOPTB108011;Reject It;;;;;;;;;;;;;x
EVTNAME106000;Nuclear Embargo Rumoured;;;;;;;;;;;;;x
EVTDESC106000;NATO is becoming increasingly concerned about our nuclear programme, and rumours are prevalent that some of its members intend to propose a NATO nuclear embargo upon us.;;;;;;;;;;;;;x
EVTOPTA106000;Unfortunate;;;;;;;;;;;;;x
EVTNAME106001;Nuclear Embargo Considered;;;;;;;;;;;;;x
EVTDESC106001;AI Placeholder;;;;;;;;;;;;;x
EVTOPTA106001;A Good Idea;;;;;;;;;;;;;x
EVTOPTB106001;We Disagree;;;;;;;;;;;;;x
EVTNAME106010;Military Embargo Rumoured;;;;;;;;;;;;;x
EVTDESC106010;NATO is becoming increasingly concerned about our agressive military behaviour, and rumours are prevalent that some of its members intend to propose a NATO military embargo upon us.;;;;;;;;;;;;;x
EVTOPTA106010;Unfortunate;;;;;;;;;;;;;
EVTNAME106011;Military Embargo Considered;;;;;;;;;;;;;
EVTDESC106011;AI Placeholder;;;;;;;;;;;;;
EVTOPTA106011;A Good Idea;;;;;;;;;;;;;
EVTOPTB106011;Reject It;;;;;;;;;;;;;
EVTNAME700176;Nuclear Embargo Rumoured;;;;;;;;;;;;;
EVTDESC700176;NATO is becoming increasingly concerned about our nuclear programme, and rumours are prevalent that some of its members intend to propose a NATO nuclear embargo upon us.;;;;;;;;;;;;;
EVTOPTA700176;Unfortunate;;;;;;;;;;;;;
EVTNAME700177;Nuclear Embargo Considered;;;;;;;;;;;;;
EVTDESC700177;AI Placeholder;;;;;;;;;;;;;
EVTOPTA700177;A Good Idea;;;;;;;;;;;;;
EVTOPTB700177;We Disagree;;;;;;;;;;;;;
EVTNAME700178;Military Embargo Rumoured;;;;;;;;;;;;;
EVTDESC700178;NATO is becoming increasingly concerned about our agressive military behaviour, and rumours are prevalent that some of its members intend to propose a NATO military embargo upon us.;;;;;;;;;;;;;
EVTOPTA700178;Unfortunate;;;;;;;;;;;;;
EVTNAME700179;Military Embargo Considered;;;;;;;;;;;;;
EVTDESC700179;AI Placeholder;;;;;;;;;;;;;
EVTOPTA700179;A Good Idea;;;;;;;;;;;;;
EVTOPTB700179;Reject It;;;;;;;;;;;;;
