MODEL_TAG;Model;Modèle;Model;;Modelo;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
# model 0 units from WW2;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#################################################;;;;;;;;;;;;;;x
# Land units;;;;;;;;;;;;;;x
#################################################;;;;;;;;;;;;;;x
CHC_anti_air_brigade_0;ZPU-4 AA Gun;;;;;;;;;;;;;x
CHC_anti_air_brigade_1;ZU-23-2;;;;;;;;;;;;;x
CHC_anti_air_brigade_2;2K12 Kub;;;;;;;;;;;;;x
CHC_anti_air_brigade_3;9K33 Osa;;;;;;;;;;;;;x
CHC_anti_air_brigade_4;9K330 Tor;;;;;;;;;;;;;x
CHC_air_cav_brigade_2;Harbin Z-5;;;;;;;;;;;;;x
CHC_air_cav_brigade_3;Harbin Z-6;;;;;;;;;;;;;x
CHC_air_cav_brigade_4;Changhe Z-8;;;;;;;;;;;;;x
CHC_armored_engineer_brigade_0;T-34 Dozer;;;;;;;;;;;;;x
CHC_armored_engineer_brigade_1;BAT-M Dozer;;;;;;;;;;;;;x
CHC_armored_engineer_brigade_2;BAT-2 Dozer;;;;;;;;;;;;;x
CHC_armored_engineer_brigade_3;IMR-2 CEV;;;;;;;;;;;;;x
CHC_armor_brigade_0;Type 58;;;;;;;;;;;;;x
CHC_armor_brigade_1;Type 59;;;;;;;;;;;;;x
CHC_armor_brigade_2;Type 69;;;;;;;;;;;;;x
CHC_armor_brigade_3;Type 88;;;;;;;;;;;;;x
CHC_armor_brigade_4;Type 98;;;;;;;;;;;;;x
CHC_artillery_brigade_0;M101A1 Howitzer;;;;;;;;;;;;;x
CHC_artillery_brigade_1;Type 59 Howitzer;;;;;;;;;;;;;x
CHC_artillery_brigade_2;Type 66 Howitzer;;;;;;;;;;;;;x
CHC_artillery_brigade_3;2A18 Howitzer;;;;;;;;;;;;;x
CHC_artillery_brigade_4;M198 Howitzer;;;;;;;;;;;;;x
CHC_anti_tank_brigade_0;76 mm ZiS-3;;;;;;;;;;;;;x
CHC_anti_tank_brigade_1;85mm D-44;;;;;;;;;;;;;x
CHC_anti_tank_brigade_2;AT-3 Sagger;;;;;;;;;;;;;x
CHC_anti_tank_brigade_3;AT-4 Spigot;;;;;;;;;;;;;x
CHC_anti_tank_brigade_4;AT-7 Saxhorn;;;;;;;;;;;;;x
CHC_cavalry_brigade_0;M5A1 Stuart;;;;;;;;;;;;;x
CHC_cavalry_brigade_1;M24 Chaffee;;;;;;;;;;;;;x
CHC_cavalry_brigade_2;PT-76;;;;;;;;;;;;;x
CHC_cavalry_brigade_3;BMP-1 IFV;;;;;;;;;;;;;x
CHC_cavalry_brigade_4;BMP-2 IFV;;;;;;;;;;;;;x
CHC_heavy_mechanized_brigade_0;BTR-60 APC;;;;;;;;;;;;;x
CHC_heavy_mechanized_brigade_1;BMP-1 IFV;;;;;;;;;;;;;x
CHC_heavy_mechanized_brigade_2;BMP-2 IFV;;;;;;;;;;;;;x
CHC_heavy_mechanized_brigade_3;BMP-3 IFV;;;;;;;;;;;;;x
CHC_light_mechanized_brigade_0;BTR-40 APC;;;;;;;;;;;;;x
CHC_light_mechanized_brigade_1;BTR-152 APC;;;;;;;;;;;;;x
CHC_light_mechanized_brigade_2;Type 63 YW531C;;;;;;;;;;;;;x
CHC_light_mechanized_brigade_3;Type 77;;;;;;;;;;;;;x
CHC_light_mechanized_brigade_4;Type 85 AFV;;;;;;;;;;;;;x
CHC_long_range_anti_air_brigade_0;Hongqi-1;;;;;;;;;;;;;x
CHC_long_range_anti_air_brigade_1;Hongqi-2;;;;;;;;;;;;;x
CHC_long_range_anti_air_brigade_3;Hongqi-10;;;;;;;;;;;;;x
CHC_marine_brigade_0;BTR-50 APC;;;;;;;;;;;;;x
CHC_marine_brigade_1;BTR-60 APC;;;;;;;;;;;;;x
CHC_marine_brigade_2;Type 63;;;;;;;;;;;;;x
CHC_marine_brigade_3;Type 77;;;;;;;;;;;;;x
CHC_motorized_brigade_0;GAZ-51;;;;;;;;;;;;;x
CHC_motorized_brigade_1;ZiS-151;;;;;;;;;;;;;x
CHC_motorized_brigade_2;Jiefang CA-30;;;;;;;;;;;;;x
CHC_motorized_brigade_3;GAZ-66;;;;;;;;;;;;;x
CHC_motorized_brigade_4;BTR-80 ;;;;;;;;;;;;;x
CHC_rocket_artillery_brigade_0;Type 63 130 mm;;;;;;;;;;;;;x
CHC_rocket_artillery_brigade_4;ASTROS II MLRS;;;;;;;;;;;;;x
CHC_sp_anti_air_brigade_0;ZSU-37;;;;;;;;;;;;;x
CHC_sp_anti_air_brigade_1;Type 63;;;;;;;;;;;;;x
CHC_sp_anti_air_brigade_2;ZSU-23-4 Shilka;;;;;;;;;;;;;x
CHC_sp_anti_air_brigade_3;Type 95 SPAAA;;;;;;;;;;;;;x
CHC_sp_artillery_brigade_0;SU-76;;;;;;;;;;;;;x
CHC_sp_artillery_brigade_2;2S1 Gvozdika;;;;;;;;;;;;;x
CHC_sp_artillery_brigade_3;Type 83;;;;;;;;;;;;;x
CHC_sp_artillery_brigade_4;PLZ-05;;;;;;;;;;;;;x
CHC_sp_rct_artillery_brigade_0;BM-13 Katyusha;;;;;;;;;;;;;x
CHC_sp_rct_artillery_brigade_2;Type 81 PHZ81;;;;;;;;;;;;;x
CHC_sp_rct_artillery_brigade_4;Type A100 PHL-03;;;;;;;;;;;;;x
CHC_tank_destroyer_brigade_3;Type 89;;;;;;;;;;;;;x
PRK_anti_air_brigade_0;ZPU-4 AA Gun;;;;;;;;;;;;;x
PRK_anti_air_brigade_1;ZU-23-2;;;;;;;;;;;;;x
PRK_armored_engineer_brigade_0;T-34 Dozer;;;;;;;;;;;;;x
PRK_armored_engineer_brigade_1;BAT-M Dozer;;;;;;;;;;;;;x
PRK_armor_brigade_0;T-34;;;;;;;;;;;;;x
PRK_armor_brigade_1;T-54/55;;;;;;;;;;;;;x
PRK_armor_brigade_2;T-62;;;;;;;;;;;;;x
PRK_armor_brigade_3;Chonma-ho;;;;;;;;;;;;;x
PRK_armor_brigade_4;Pokpung-ho;;;;;;;;;;;;;x
PRK_artillery_brigade_0;ML-20 Howitzer;;;;;;;;;;;;;x
PRK_artillery_brigade_1;M-46 Howitzer;;;;;;;;;;;;;x
PRK_anti_tank_brigade_0;76 mm ZiS-3;;;;;;;;;;;;;x
PRK_anti_tank_brigade_1;85mm D-44;;;;;;;;;;;;;x
PRK_anti_tank_brigade_2;AT-3 Sagger;;;;;;;;;;;;;x
PRK_anti_tank_brigade_3;AT-4 Spigot;;;;;;;;;;;;;x
PRK_attack_helo_brigade_0;Mi-24 Hind;;;;;;;;;;;;;x
PRK_cavalry_brigade_0;T-34;;;;;;;;;;;;;x
PRK_cavalry_brigade_1;PT-76;;;;;;;;;;;;;x
PRK_cavalry_brigade_3;BMP-1 IFV;;;;;;;;;;;;;x
PRK_heavy_mechanized_brigade_0;BTR-60 APC;;;;;;;;;;;;;x
PRK_heavy_mechanized_brigade_1;BMP-1 IFV;;;;;;;;;;;;;x
PRK_light_mechanized_brigade_0;BTR-40 APC;;;;;;;;;;;;;x
PRK_light_mechanized_brigade_1;BTR-152 APC;;;;;;;;;;;;;x
PRK_light_mechanized_brigade_2;BTR-60 APC;;;;;;;;;;;;;x
PRK_light_mechanized_brigade_4;BTR-80 APC;;;;;;;;;;;;;x
PRK_marine_brigade_0;BTR-50 APC;;;;;;;;;;;;;x
PRK_marine_brigade_1;BTR-60 APC;;;;;;;;;;;;;x
PRK_marine_brigade_3;BTR-80 APC;;;;;;;;;;;;;x
PRK_motorized_brigade_0;GAZ-51;;;;;;;;;;;;;x
PRK_motorized_brigade_1;ZiS-151;;;;;;;;;;;;;x
PRK_motorized_brigade_2;ZIL-157;;;;;;;;;;;;;x
PRK_motorized_brigade_3;GAZ-66;;;;;;;;;;;;;x
PRK_motorized_brigade_4;BTR-80 APC;;;;;;;;;;;;;x
PRK_rocket_artillery_brigade_0;Type 63 130 mm;;;;;;;;;;;;;x
PRK_sp_anti_air_brigade_0;ZSU-37;;;;;;;;;;;;;x
PRK_sp_anti_air_brigade_1;ZSU-57-2 Ob'yekt 500;;;;;;;;;;;;;x
PRK_sp_anti_air_brigade_2;ZSU-23-4 Shilka;;;;;;;;;;;;;x
PRK_sp_artillery_brigade_0;SU-76;;;;;;;;;;;;;x
PRK_sp_artillery_brigade_2;Chuch'e-Po;;;;;;;;;;;;;x
PRK_sp_artillery_brigade_3;KOKSAN;;;;;;;;;;;;;x
PRK_sp_rct_artillery_brigade_0;BM-13 Katyusha;;;;;;;;;;;;;x
PRK_sp_rct_artillery_brigade_2;BM-21 Grad;;;;;;;;;;;;;x
PRK_sp_rct_artillery_brigade_3;BM-27 Uragan;;;;;;;;;;;;;x
PRK_tank_destroyer_brigade_0;SU-100;;;;;;;;;;;;;x
SOV_anti_air_brigade_0;ZPU-4 AA Gun;;;;;;;;;;;;;x
SOV_anti_air_brigade_1;ZU-23-2;;;;;;;;;;;;;x
SOV_anti_air_brigade_2;2K12 Kub;;;;;;;;;;;;;x
SOV_anti_air_brigade_3;9K33 Osa;;;;;;;;;;;;;x
SOV_anti_air_brigade_4;9K330 Tor;;;;;;;;;;;;;x
SOV_air_cav_brigade_2;Mil Mi-4;;;;;;;;;;;;;x
SOV_air_cav_brigade_3;Mil Mi-8;;;;;;;;;;;;;x
SOV_air_cav_brigade_4;Mil Mi-17;;;;;;;;;;;;;x
SOV_armored_engineer_brigade_0;T-34 Dozer;;;;;;;;;;;;;x
SOV_armored_engineer_brigade_1;BAT-M Dozer;;;;;;;;;;;;;x
SOV_armored_engineer_brigade_2;BAT-2 Dozer;;;;;;;;;;;;;x
SOV_armored_engineer_brigade_3;IMR-2 CEV;;;;;;;;;;;;;x
SOV_armor_brigade_0;T-34;;;;;;;;;;;;;x
SOV_armor_brigade_1;T-54/55;;;;;;;;;;;;;x
SOV_armor_brigade_2;T-62;;;;;;;;;;;;;x
SOV_armor_brigade_3;T-72;;;;;;;;;;;;;x
SOV_armor_brigade_4;T-80;;;;;;;;;;;;;x
SOV_artillery_brigade_0;ML-20 Howitzer;;;;;;;;;;;;;x
SOV_artillery_brigade_1;M-46 Howitzer;;;;;;;;;;;;;x
SOV_artillery_brigade_2;D-20 Howitzer;;;;;;;;;;;;;x
SOV_artillery_brigade_3;2A18 Howitzer;;;;;;;;;;;;;x
SOV_artillery_brigade_4;2A36 Giatsint-B;;;;;;;;;;;;;x
SOV_anti_tank_brigade_0;76 mm ZiS-3;;;;;;;;;;;;;x
SOV_anti_tank_brigade_1;85mm D-44;;;;;;;;;;;;;x
SOV_anti_tank_brigade_2;AT-3 Sagger;;;;;;;;;;;;;x
SOV_anti_tank_brigade_3;AT-4 Spigot;;;;;;;;;;;;;x
SOV_anti_tank_brigade_4;AT-7 Saxhorn;;;;;;;;;;;;;x
SOV_attack_helo_brigade_0;Mi-24 Hind;;;;;;;;;;;;;x
SOV_attack_helo_brigade_1;Mi-28 Havoc;;;;;;;;;;;;;x
SOV_attack_helo_brigade_2;Ka-50 Hokum A;;;;;;;;;;;;;x
SOV_all_terrain_vehicles_4;Vityaz DT10;;;;;;;;;;;;;x
SOV_cavalry_brigade_0;T-34;;;;;;;;;;;;;x
SOV_cavalry_brigade_1;PT-76;;;;;;;;;;;;;x
SOV_cavalry_brigade_3;BMP-1 IFV;;;;;;;;;;;;;x
SOV_cavalry_brigade_4;BMP-2 IFV;;;;;;;;;;;;;x
SOV_heavy_mechanized_brigade_0;BTR-60 APC;;;;;;;;;;;;;x
SOV_heavy_mechanized_brigade_1;BMP-1 IFV;;;;;;;;;;;;;x
SOV_heavy_mechanized_brigade_2;BMP-2 IFV;;;;;;;;;;;;;x
SOV_heavy_mechanized_brigade_3;BMP-3 IFV;;;;;;;;;;;;;x
SOV_light_mechanized_brigade_0;BTR-40 APC;;;;;;;;;;;;;x
SOV_light_mechanized_brigade_1;BTR-152 APC;;;;;;;;;;;;;x
SOV_light_mechanized_brigade_2;BTR-60 APC;;;;;;;;;;;;;x
SOV_light_mechanized_brigade_3;BTR-70 APC;;;;;;;;;;;;;x
SOV_light_mechanized_brigade_4;BTR-80 APC;;;;;;;;;;;;;x
SOV_long_range_anti_air_brigade_0;S-75 Dvina;;;;;;;;;;;;;x
SOV_long_range_anti_air_brigade_1;S-125 Neva/Pechora;;;;;;;;;;;;;x
SOV_long_range_anti_air_brigade_2;S-200 Angara/Vega/Dubna;;;;;;;;;;;;;x
SOV_long_range_anti_air_brigade_3;S-300;;;;;;;;;;;;;x
SOV_marine_brigade_0;BTR-50 APC;;;;;;;;;;;;;x
SOV_marine_brigade_1;BTR-60 APC;;;;;;;;;;;;;x
SOV_marine_brigade_2;BTR-70 APC;;;;;;;;;;;;;x
SOV_marine_brigade_3;BTR-80 APC;;;;;;;;;;;;;x
SOV_motorized_brigade_0;GAZ-51;;;;;;;;;;;;;x
SOV_motorized_brigade_1;ZiS-151;;;;;;;;;;;;;x
SOV_motorized_brigade_2;ZIL-157;;;;;;;;;;;;;x
SOV_motorized_brigade_3;GAZ-66;;;;;;;;;;;;;x
SOV_motorized_brigade_4;BTR-80 APC;;;;;;;;;;;;;x
SOV_rocket_artillery_brigade_0;BM-14;;;;;;;;;;;;;x
SOV_sp_anti_air_brigade_0;ZSU-37;;;;;;;;;;;;;x
SOV_sp_anti_air_brigade_1;ZSU-57-2 Ob'yekt 500;;;;;;;;;;;;;x
SOV_sp_anti_air_brigade_2;ZSU-23-4 Shilka;;;;;;;;;;;;;x
SOV_sp_anti_air_brigade_3;9K22 Tunguska;;;;;;;;;;;;;x
SOV_sp_artillery_brigade_0;SU-76;;;;;;;;;;;;;x
SOV_sp_artillery_brigade_2;2S1 Gvozdika;;;;;;;;;;;;;x
SOV_sp_artillery_brigade_3;2S3 (SO-152) Akatsiya ;;;;;;;;;;;;;x
SOV_sp_artillery_brigade_4;2S5 Giatsint-S;;;;;;;;;;;;;x
SOV_sp_rct_artillery_brigade_0;BM-13 Katyusha;;;;;;;;;;;;;x
SOV_sp_rct_artillery_brigade_2;BM-21 Grad;;;;;;;;;;;;;x
SOV_sp_rct_artillery_brigade_3;BM-27 Uragan;;;;;;;;;;;;;x
SOV_sp_rct_artillery_brigade_4;BM-30 Smerch;;;;;;;;;;;;;x
SOV_tank_destroyer_brigade_0;SU-100;;;;;;;;;;;;;x
USA_anti_air_brigade_0;Bofors 40 mm;;;;;;;;;;;;;x
USA_anti_air_brigade_1;M51 Skysweeper;;;;;;;;;;;;;x
USA_anti_air_brigade_2;MIM-46 Mauler;;;;;;;;;;;;;x
USA_anti_air_brigade_3;MIM-72C Chaparral;;;;;;;;;;;;;x
USA_anti_air_brigade_4;MIM-72G Chaparral;;;;;;;;;;;;;x
USA_air_cav_brigade_2;UH-1 Huey;;;;;;;;;;;;;x
USA_air_cav_brigade_3;CH-47 Chinook;;;;;;;;;;;;;x
USA_air_cav_brigade_4;UH-60 Black Hawk;;;;;;;;;;;;;x
USA_armored_engineer_brigade_0;M4 Sherman Dozer;;;;;;;;;;;;;x
USA_armored_engineer_brigade_1;M6 Dozer;;;;;;;;;;;;;x
USA_armored_engineer_brigade_2;M8A1DB;;;;;;;;;;;;;x
USA_armored_engineer_brigade_3;M728 CEV;;;;;;;;;;;;;x
USA_armored_engineer_brigade_4;M1 Grizzly;;;;;;;;;;;;;x
USA_armor_brigade_0;M4 Sherman;;;;;;;;;;;;;x
USA_armor_brigade_1;M47 Patton;;;;;;;;;;;;;x
USA_armor_brigade_2;M48 Patton;;;;;;;;;;;;;x
USA_armor_brigade_3;M60 Patton;;;;;;;;;;;;;x
USA_armor_brigade_4;M1 Abrams;;;;;;;;;;;;;x
USA_artillery_brigade_0;M101A1 Howitzer;;;;;;;;;;;;;x
USA_artillery_brigade_1;M1 Howitzer;;;;;;;;;;;;;x
USA_artillery_brigade_2;M114 Howtizer;;;;;;;;;;;;;x
USA_artillery_brigade_3;M102 Howitzer;;;;;;;;;;;;;x
USA_artillery_brigade_4;M198 Howitzer;;;;;;;;;;;;;x
USA_anti_tank_brigade_0;M20 Recoilless Rifle;;;;;;;;;;;;;x
USA_anti_tank_brigade_1;M40 Recoilless Rifle;;;;;;;;;;;;;x
USA_anti_tank_brigade_2;M67 Recoilless Rifle;;;;;;;;;;;;;x
USA_anti_tank_brigade_3;BGM-71 TOW;;;;;;;;;;;;;x
USA_anti_tank_brigade_4;M47 Dragon;;;;;;;;;;;;;x
USA_attack_helo_brigade_0;AH-1 Cobra;;;;;;;;;;;;;x
USA_attack_helo_brigade_1;AH-1 SuperCobra;;;;;;;;;;;;;x
USA_attack_helo_brigade_2;AH-64 Apache;;;;;;;;;;;;;x
USA_all_terrain_vehicles_0;M29 Weasel;;;;;;;;;;;;;x
USA_all_terrain_vehicles_2;Thiokol Model 601;;;;;;;;;;;;;x
USA_all_terrain_vehicles_3;Bv 206;;;;;;;;;;;;;x
USA_cavalry_brigade_0;M5A1 Stuart;;;;;;;;;;;;;x
USA_cavalry_brigade_1;M24 Chaffee;;;;;;;;;;;;;x
USA_cavalry_brigade_2;M41 Walker Bulldog;;;;;;;;;;;;;x
USA_cavalry_brigade_3;M551 Sheridan;;;;;;;;;;;;;x
USA_cavalry_brigade_4;M2 Bradley;;;;;;;;;;;;;x
USA_heavy_mechanized_brigade_0;M3 Half-track;;;;;;;;;;;;;x
USA_heavy_mechanized_brigade_1;M113 APC;;;;;;;;;;;;;x
USA_heavy_mechanized_brigade_2;M2 Bradley IFV;;;;;;;;;;;;;x
USA_heavy_mechanized_brigade_3;M2A2 Bradley TOW;;;;;;;;;;;;;x
USA_light_mechanized_brigade_0;M75 APC;;;;;;;;;;;;;x
USA_light_mechanized_brigade_1;M59 APC;;;;;;;;;;;;;x
USA_light_mechanized_brigade_2;M113 APC;;;;;;;;;;;;;x
USA_light_mechanized_brigade_3;M113A1 APC;;;;;;;;;;;;;x
USA_light_mechanized_brigade_4;M2 Bradley IFV;;;;;;;;;;;;;x
USA_long_range_anti_air_brigade_0;Nike Ajax MIM-3;;;;;;;;;;;;;x
USA_long_range_anti_air_brigade_1;Nike Hercules MIM-14;;;;;;;;;;;;;x
