##################################################;;;;;;;;;;;;;;x
# Country Flags ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;
## Positive ##;;;;;;;;;;;;;x;
flag_monarchyGovernment_royalBonds_immediate;Royal Bonds;;;;;;;;;;;;;x
;;;;;;;;;;;;;x;
## Negative ##;;;;;;;;;;;;;x;
flag_monarchyGovernment_royalBlackmail;Royal Blackmail;;;;;;;;;;;;;x
flag_monarchyGovernment_royalCharity;Royal Charity;;;;;;;;;;;;;x
;;;;;;;;;;;;;x;
##################################################;;;;;;;;;;;;;;x
# Country Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;
## Positive ##;;;;;;;;;;;;;x;
mod_monarchyGovernment_royalBaby;Royal Baby;;;;;;;;;;;;;x
mod_monarchyGovernment_royalMarriage_delay;Royal Marriage Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalBonds_delay;Royal Bonds Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalNegotiation_delay;Royal Negotiation Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalStability_delay;Royal Stability Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalCelebration_delay;Royal Celebration Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTourism;Royal Tourism Boost;;;;;;;;;;;;;x
mod_monarchyGovernment_royalActivism;Royal Activism;;;;;;;;;;;;;x
mod_monarchyGovernment_royalStrategy_delay;Royal Strategy Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;x;
## Negative ##;;;;;;;;;;;;;x;
mod_monarchyGovernment_royalEditorial_delay;Royal Editorial Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalNepotism_delay;Royal Nepotism Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTitles;Sale of Royal Titles;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTitles_delay;Royal Titles Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTax_delay;Royal Tax Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTax;Royal Tax Loopholes;;;;;;;;;;;;;x
mod_monarchyGovernment_royalEmbarressment_delay;Royal Embarressment Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalGaffe_delay;Royal Gaffe Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalDivorce_delay;Royal Divorce Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalWealth_delay;Royal Wealth Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalBlackmail_delay;Royal Blackmail Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalFued;Royal Fued;;;;;;;;;;;;;x
mod_monarchyGovernment_royalHealth_delay;Royal Health Delays;;;;;;;;;;;;;x
mod_monarchyGovernment_royalHealth;Royal Health Concerns;;;;;;;;;;;;;x
mod_monarchyGovernment_royalCharity_delay;Royal Charity Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;x;
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;
dec_MonarchyGovernment_monarchAbdicates_title;Abdication of Monarch;;;;;;;;;;;;;;x
dec_MonarchyGovernment_monarchAbdicates_desc;Abdication of Monarch.;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;
## Positive ##;;;;;;;;;;;;;x;
EVTNAME53000;Royal Baby Born;;;;;;;;;;;;;x
EVTDESC53000;Joyous news, a royal baby has been born to our royal family! This child further ensures the continuity of our nation’s royal lineage, and therefore is a cause for national celebration.;;;;;;;;;;;;;x
EVTOPTA53000;A reason for celebrations.;;;;;;;;;;;;;x
EVTNAME53001;Extravagant Royal Marriage;;;;;;;;;;;;;x
EVTDESC53001;"Royal marriages are a cause for celebration – and an opportunity for aggrandizement of the royal family. The plans for the royal marriage are truly grand, sparing absolutely no expense. The state treasury has been significantly depleted to pay for it all, but our people would have it no other way when it comes to their beloved royals. We have the chance to spin the extravaganza to benefit our government; the only question is how.";;;;;;;;;;;;;x
EVTOPTA53001;This shall boost our royal family's prestige.;;;;;;;;;;;;;x
EVTOPTB53001;This shall boost our neighborly relations.;;;;;;;;;;;;;x
EVTNAME53002;Royal Bonds Unite Our Nations;;;;;;;;;;;;;x
EVTDESC53002;The monarchy is a dying breed, and monarchs understand that birds of a feather must stick together. Therefore, neighboring monarchies tend to have much in common with one another, translating into good relations between the two nations.;;;;;;;;;;;;;x
