#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
MANPOWER_DETAILS_IRO;Our current availible manpower is: §Y$AVAILIBLE$§W\nOut of a possible of: §Y$MAX$§W\nWe draft: §Y$DRAFT$§W each month\nOur army needs §Y$NEED$§W manpower to reinforce, and we currently use §Y$DAILYUSED$§W every day.;;;;;;;;;;;;;x;;
NATWATERS;National Waters of ;National Waters of ;National Waters of ;;National Waters of ;;;;;;;;;x;;
INTERWATERS;International Waters;International Waters;International Waters;;International Waters;;;;;;;;;x;;
NATIDEAS;National Ideas;National Ideas;National Ideas;;National Ideas;;;;;;;;;x;;
NATCULTURE;National Culture;National Culture;National Culture;;National Culture;;;;;;;;;x;;
CONFIRM_CHANGE_IDEA_TITLE;Change National Idea;Changer la loi;Gesetz ändern;;Cambiar ley;;;;;;;;;x;;
CONFIRM_CHANGE_IDEA_DESC;Are you sure you wish to enact the new idea §Y$LAW$§W?;Êtes-vous sûr de vouloir adopter la nouvelle loi §Y$LAW$§W ?;Sind Sie sicher, das neue Gesetz §Y$LAW$§W erlassen zu wollen?;;¿Seguro que quieres promulgar la nueva ley §Y$LAW$§W?;;;;;;;;;x;;
MAP_REGION_NAME;$NAME$;$NAME$;$NAME$;;$NAME$;;;;;;;;;x;;
PEACEOFFER;Paint provinces from map;;;;;;;;;;;;;x;;
MAPMODE_17;Mission Mapmode;;;;;;;;;;;;;x;;
CANCEL_ALL_MISSION;Clear missions;;;;;;;;;;;;;x;;
CLEAR_SELECTION;Clear selection;;;;;;;;;;;;;x;;
SELECT_ALL_MISSION;Select all;;;;;;;;;;;;;x;;
DONE_MISSION;Finish;;;;;;;;;;;;;x;;
START_MISSION;Start;;;;;;;;;;;;;x;;
CLOSE_BRIGADE_PICKER;Done;;;;;;;;;;;;;x;;
CUSTOM_UNIT;Custom unit;;;;;;;;;;;;;x;;
UNIT_MONEY_COST;Unit Cost:;;;;;;;;;;;;;x;;
POPULATION_IRO;Population;;;;;;;;;;;;;x;;
SATELLITES_IRO;Total number of orbiting satellites that can be used for military purposes.;;;;;;;;;;;;;x;;
SPIES_NUM_IRO;Total number of spies available for clandestine operations.;;;;;;;;;;;;;x;;
POPULATION_DRO;Population;;;;;;;;;;;;;x;;
SATELLITES_DRO;'The dinosaurs became extinct because they didn't have a space program. And if we become extinct because we don't have a space program, it'll serve us right!' - Larry Niven;;;;;;;;;;;;;x;;
SPIES_NUM_DRO;All nations need spies regardless of their moral inclinations, but the secrets to be discovered are sometimes few and far between.;;;;;;;;;;;;;x;;
GDP_IRO;GDP is a sum of Consumption, Investment, Government Spending, and Exports, minus Imports.;;;;;;;;;;;;;x;;
GDP_DRO;Gross domestic product (GDP) refers to the market value of all goods and services produced within your country.;;;;;;;;;;;;;x;;
RESEARCH_IRO;Technologies;;;;;;;;;;;;;x;;
RESEARCH_DRO;Total number of technologies.;;;;;;;;;;;;;x;;
URANIUM_IRO;Uranium;;;;;;;;;;;;;x;;
URANIUM_DRO;Uranium;;;;;;;;;;;;;x;;
TMP_CUSTOM_BUTTON_IRO;Create custom unit;;;;;;;;;;;;;x;;
TMP_CUSTOM_BUTTON_IRD;This option allows you to create a custom unit which is not based on existing templates.;;;;;;;;;;;;;x;;
TMP_IT_ITEMS;Brigades in the unit;;;;;;;;;;;;;x;;
TMP_IT_COST;Unit cost;;;;;;;;;;;;;x;;
TMP_IT_NAME;Unit name;;;;;;;;;;;;;x;;
POPULATION_NUM_IRO;Changes by $POP$ each day.;;;;;;;;;;;;;x;;
POPULATION_NUM_DRO;Baby growth:\n $GROWTH$;;;;;;;;;;;;;x;;
MODIFIER_POPULATION_GROWTH;Birth rate:;;;;;;;;;;;;;x;;
GDP_NUM_IRO;Changes by §G+0.000§W each day.;;;;;;;;;;;;;x;;
GDP_NUM_DRO; ;;;;;;;;;;;;;x;;
SATELLITES_NUM_IRO;The number of satellites currently in our possession;;;;;;;;;;;;;x;;
