#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
COLDWARTEST_NAME;Cold War The hot End;;;;;;;;;;;;;x
COLDWARTEST_DESC;Cold War The hot End;;;;;;;;;;;;;x
COLDWARSTART_NAME;Cold War Begins;;;;;;;;;;;;;x
COLDWARSTART_DESC;Cold War Begins;;;;;;;;;;;;;x
ARABISRAELIWAR_NAME;Arab-Israeli War;;;;;;;;;;;;;x
ARABISRAELIWAR_DESC;Arab-Israeli War;;;;;;;;;;;;;x
KOREANWAR_NAME;Korean War;;;;;;;;;;;;;x
KOREANWAR_DESC;Korean War;;;;;;;;;;;;;x
VIETNAMWAR_NAME;Vietnam War;;;;;;;;;;;;;x
VIETNAMWAR_DESC;Vietnam War;;;;;;;;;;;;;x
AFGHANISTANWAR_NAME;Afghanistan War;;;;;;;;;;;;;x
AFGHANISTANWAR_DESC;Afghanistan War;;;;;;;;;;;;;x
GULFWAR_NAME;Gulf War;;;;;;;;;;;;;x
GULFWAR_DESC;Gulf War;;;;;;;;;;;;;x
