#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Globals;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#Globals ;;;;;;;;;;;;;;x
# up to 1000;;;;;;;;;;;;;;x
EVTNAME400;$PRIDE_SUNK$ Sunk!;;$PRIDE_SUNK$ versenkt!;;;;;;;;;;;x
EVTDESC400;The Pride of the $FROMCOUNTRY_ADJ$ Navy, the fearsome $PRIDE_SUNK$, has been sunk by the glorious $PRIDE_SINKER$! This is a blow to $FROMCOUNTRY_ADJ$ morale, and a boost to our own.;;Der Stolz der $FROMCOUNTRY_ADJ$ Flotte, die mächtige $PRIDE_SUNK$, ist von den glorreichen Streitkräften von $PRIDE_SINKER$ versenkt worden! Das wird die Moral von $FROMCOUNTRY_ADJ$ senken und unsere eigene stärken.;;;;;;;;;;;x
EVTOPTA400;Excellent News!;;Ausgezeichnet!;;;;;;;;;;;x
EVTNAME401;$PRIDE_SUNK$ Lost!;;$PRIDE_SUNK$ verloren!;;;;;;;;;;;x
EVTDESC401;The Pride of our Navy, the glorious $PRIDE_SUNK$, has been lost with all hands, sunk by the $FROMCOUNTRY_ADJ$ $PRIDE_SINKER$. This is a stinging blow to our morale.;;Der Stolz unserer Flotte, die glorreiche $PRIDE_SUNK$, ging mit der gesamten Besatzung verloren, versenkt von $FROMCOUNTRY_ADJ$ $PRIDE_SINKER$. Das wird unsere Moral senken.;;;;;;;;;;;x
EVTOPTA401;Damn!;;Verdammt!;;;;;;;;;;;x
pride_of_the_fleet_dead;Pride Of The Fleet Sunk;;;;;;;;;;;;;x
EVTNAME500;Surrender to $FROMCOUNTRY$;Se rendre à $FROMCOUNTRY$;Linker Staatsstreich;;Golpe de Estado de la izquierda;;;;;;;;;x
EVTDESC500;With their national unity having fallen below their will to fight, $COUNTRYNAME$ is at the brink of oblivion. Their only possibility to continue the fight is as a government in exile.;L'unité nationale ne motive même plus notre volonté de nous battre et notre nation est au bord du désastre. Nous pouvons toutefois tenter de nous battre en tant que gouvernement en exil.;Dank ausländischer Hilfe ist es zur Revolution des Volkes gekommen! Die unterdrückten Arbeiter und Bauern haben die Kontrolle des Staats und der Produktionsmittel übernommen.;;Ha llegado la revolución del pueblo, ¡con apoyo extranjero! El glorioso proletariado y el campesinado oprimido se han hecho con el control del país y los medios de producción.;;;;;;;;;x
EVTOPTA500;Continue the fight!;Continuer le combat !;Es gab keinen anderen Weg;;No podía haber sido de otro modo;;;;;;;;;x
EVTOPTB500;Give up!;Abandonner !;Linker Staatsstreich;;Golpe de Estado de la izquierda;;;;;;;;;x
EVTNAME501;$FROMCOUNTRY$ has surrendered!;$FROMCOUNTRY$ a capitulé !;Dank ausländischer Hilfe ist es zur Revolution des Volkes gekommen! Die unterdrückten Arbeiter und Bauern haben die Kontrolle des Staats und der Produktionsmittel übernommen.;;Ha llegado la revolución del pueblo, ¡con apoyo extranjero! El glorioso proletariado y el campesinado oprimido se han hecho con el control del país y los medios de producción.;;;;;;;;;x
EVTDESC501;$FROMCOUNTRY$ is no longer willing to continue in their war against us. We now have the option to fully annex them into our country or to create a puppet state.;$FROMCOUNTRY$ ne veut plus se battre contre nous. Nous pouvons maintenant soit les annexer entièrement, soit créer un état fantoche.;Es gab keinen anderen Weg;;No podía haber sido de otro modo;;;;;;;;;x
EVTOPTA501;Annex them;Annexer;Rechter Staatsstreich;;Golpe de Estado de la derecha;;;;;;;;;x
EVTOPTB501;Create a Puppet;Créer un état fantoche;Die Kräfte von Recht und Ordnung haben mit ausländischer Hilfe die Kontrolle unseres Staats übernommen. Das neue Regime verspricht, sämtliche Verräter unserer geliebten Nation auszulöschen.;;Las fuerzas de la ley y el orden han tomado el control de nuestra nación con la ayuda de países extranjeros. El nuevo régimen promete erradicar a todos los traidores de nuestra amada patria.;;;;;;;;;x
# 4000;;;;;;;;;;;;;;x
EVTNAME4001;Coup d'état;Coup d'état;Es war unvermeidbar;;Era inevitable;;;;;;;;;x
