#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
HULL_SLOTS;Max.Slots;;;;;;;;;;;;;x;;
HULL_SLOTSIZE;Max.Slot Size;;;;;;;;;;;;;x;;
AMMO_TEXT;Ammunition stored: 即$ROUNDS$劬 rounds;;;;;;;;;;;;;x;;
AMMO_TEXT2;This store holds 即$ROUNDS$劬 rounds for;;;;;;;;;;;;;x;;
AMMO_TEXT3;This weapon consumes ammunition from store 即$STORE$劬;;;;;;;;;;;;;x;;
AMMO_TEXT4;Store $STORE$: 即$ROUNDS$劬 round(s);;;;;;;;;;;;;x;;
AMMO_TEXT_OUT;Ammunition is depleted;;;;;;;;;;;;;x;;
NAVALCOMBAT_MISSILE;即$ENEMY$劬 hit by 刪$MISSILES$劬 即$MISSILE$劬(s) out of 即$MISSILE2$劬 fired from 即$SHIP$劬;;;;;;;;;;;;;x;;
NAVALCOMBAT_FIRING;刪$MISSILES$劬 即$MISSILE$劬(s) fired from 即$SHIP$劬 at 即$ENEMY$劬;;;;;;;;;;;;;x;;
NAVALCOMBAT_SPOTTED;Enemy spotted at 即$RANGE$劬 km by 即$SHIP$劬 sensors;;;;;;;;;;;;;x;;
NAVALCOMBAT_RETREAT;即$UNIT$劬 retreats from battle;;;;;;;;;;;;;x;;
NAVALCOMBAT_SUNK;即$ENEMY$劬 sunk by 即$SHIP$劬;;;;;;;;;;;;;x;;
NAVALCOMBAT_FRIENDLY;friendly unit;;;;;;;;;;;;;x;;
NAVALCOMBAT_DAMAGED;即$ENEMY$劬 heavily damaged by 即$SHIP$劬 and lost her 即$EQUIP$劬;;;;;;;;;;;;;x;;
NAVALCOMBAT_EVADED;即$ENEMY$劬 evaded 刪$MISSILES$劬 incoming missile(s) fired from 即$SHIP$劬;;;;;;;;;;;;;x;;
NAVALCOMBAT_PROTECT;即$SHIP$劬 protected by fleet air defense ships.;;;;;;;;;;;;;x;;
NAVALCOMBAT_NOAMMO_FIRING;即$SHIP$劬 is firing with 即$WEAPON$劬 at 即$ENEMY$劬;;;;;;;;;;;;;x;;
NAVALCOMBAT_NOAMMO;$SHIP$ is out of missiles, closing to gun range;;;;;;;;;;;;;x;;
NAVAL_AMMOSTORE_1;Primary;;;;;;;;;;;;;x;;
NAVAL_AMMOSTORE_2;Secondary;;;;;;;;;;;;;x;;
NAVAL_WEAPONINFO;$WEAPON$: 即$DAMAGE$劬 damage, 即$ROUND$劬/$ROUNDS$ salvoes, (即$MISSILE$劬/$MISSILES$);;;;;;;;;;;;;x;;
NAVAL_FIREINFO_MISSILE;Ship is firing 即$MISSILE$劬 missiles;;;;;;;;;;;;;x;;
NAVAL_FIREINFO_SILENT;Ship has no offensive weapon at this range;;;;;;;;;;;;;x;;
NAVAL_FIREINFO_GUN;Ship is firing with guns/torpedoes;;;;;;;;;;;;;x;;
NAVAL_FIREINFO_ASW;Ship is firing with ASW weapons;;;;;;;;;;;;;x;;
SHIP_CAGS;CAG setup;;;;;;;;;;;;;x;;
WEAPON_EDITOR;Weapon Slot Editor;;;;;;;;;;;;;x;;
SHIP_STATS;Ship Statistics;;;;;;;;;;;;;x;;
MODEL_STATS;Weapon Stats;;;;;;;;;;;;;x;;
SHIPEDITOR_CLEAR;Clear weapon slots.;;;;;;;;;;;;;x;;
SHIPEDITOR_DEFAULT;Reset weapon slots to default.;;;;;;;;;;;;;x;;
SHIPEDITOR_EMPTY;Make empty the selected slot.;;;;;;;;;;;;;x;;
SHIPEDITOR_MAX_WEAPONS;Maximum/Current number of slots;;;;;;;;;;;;;x;;
SHIPEDITOR_MAX_SIZES;Maximum/Current weight of slots;;;;;;;;;;;;;x;;
SHIP_PROTECTING;This ship is protecting 即$CAPITAL$劬;;;;;;;;;;;;;x;;
EVADING_CHANCE;Missile evasion chance: ;;;;;;;;;;;;;x;;
PROJECTEDSHIPSTAT;Projected ship stats:;;;;;;;;;;;;;x;;
SHIPEDITOR_TOOHEAVY;This weapon is too heavy for your ship.;;;;;;;;;;;;;x;;
SHIPEDITOR_NOTAVAIL;This model is not available.;;;;;;;;;;;;;x;;
SHIPEDITOR_UNITNOTAVAIL;Unit is not active.;;;;;;;;;;;;;x;;
SHIPEDITOR_WEAPONSIZE;Weapon Complex Size;;;;;;;;;;;;;x;;
SHIPEDITOR_MAXNUM;Current/Maximal number of weapon slots;;;;;;;;;;;;;x;;
SHIPEDITOR_MAXSIZE;Current/Maximal size of weapon slots;;;;;;;;;;;;;x;;
POSSIBLE_SLOTS;Possible weapon systems:;;;;;;;;;;;;;x;;
SHIPEDITOR_TOO_MANY_CAGS;Maximum number of CAG units:;;;;;;;;;;;;;x;;
