#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
NUKE_PANEL_BUTTON;Nuclear Mapmode;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_KILL;Destroyed;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_DMG;Damaged;;;;;;;;;;;;;x;;
NO_NUCLEAR_STR;No nuclear forces.;;;;;;;;;;;;;x;;
MODIFIER_SDI_DEFENSE;Ballistic missile defense factor;;;;;;;;;;;;;x;;
NUCLEAR_ALLOC_ALL;Press to allocate all available weapons;;;;;;;;;;;;;x;;
SPEC_BUILDING_SLOTINFO;$BUILDING$\nHolds §R$SALVOES$§W salvoes of §Y$UNIT$§W missiles.\nMissile range: §Y$RANGE$§W km;;;;;;;;;;;;;x;;
NUCLEAR_LAUNCH_TIME;Missile ready to launch in §G$UNIT$§W hour(s).;;;;;;;;;;;;;x;;
NUCLEAR_LAUNCH_AMMO;No missile is installed in this silo.;;;;;;;;;;;;;x;;
TOTAL_WARHEAD_SALVOES;Total warhead salvo count;;;;;;;;;;;;;x;;
TOTAL_WARHEADS;Total warheads;;;;;;;;;;;;;x;;
TOTAL_ICBM_SALVOES;Land based ballistic missile count;;;;;;;;;;;;;x;;
TOTAL_SLBM_SALVOES;Submarine launched missile (SLBM) count;;;;;;;;;;;;;x;;
SLBM_DETAIL;Available (on sea, loaded) / Total boomers: ;;;;;;;;;;;;;x;;
ICBM_DETAIL;Available (loaded) / Total silos: ;;;;;;;;;;;;;x;;
TOTAL_BOMBER_NUKE_SALVOES;Plane-delivered nuke count;;;;;;;;;;;;;x;;
NUCLEAR_PAYLOAD;Nuclear payload;;;;;;;;;;;;;x;;
NUCLEAR_RANK;Nuclear strength rank:;;;;;;;;;;;;;x;;
DOOMSDAY_INCREASE;Change of Doomsday Clock by: §Y$VAL$§W\n;;;;;;;;;;;;;x;;
DOOMSDAY_SET;This will set Doomsday Clock to §Y$VAL$§W minutes to midnight.\n;;;;;;;;;;;;;x;;
DOOMSDAY_CLOCK_VALUE;Doomsday clock at §Y$VAL$§W minutes to midnight.;;;;;;;;;;;;;x;;
OPEN_COVER;Open cover to access nuclear launch button.;;;;;;;;;;;;;x;;
LAUNCH_BUTTON;Press button to start nuclear launch sequence.;;;;;;;;;;;;;x;;
CLOSE_COVER;Close cover to abort nuclear launch.;;;;;;;;;;;;;x;;
DEFCON_LOW;Your DEFCON level is not enough low to order a nuclear strike.;;;;;;;;;;;;;x;;
NUCLEAR_SELECT_GLOBAL;Use AI for targeting;;;;;;;;;;;;;x;;
NUCLEAR_SELECT_COUNTRY;Selects countries for targeting;;;;;;;;;;;;;x;;
NUCLEAR_SELECT_REGION;Selects regions for targeting;;;;;;;;;;;;;x;;
NUCLEAR_SELECT_PROVINCE;Selects provinces for targeting;;;;;;;;;;;;;x;;
NUCLEAR_WARHEAD_SCROLLBAR;Allocates total missiles;;;;;;;;;;;;;x;;
NUCLEAR_SUB_SCROLLBAR;Allocates submarine launched missiles;;;;;;;;;;;;;x;;
NUCLEAR_SILO_SCROLLBAR;Allocates silo launched missiles;;;;;;;;;;;;;x;;
NUCLEAR_PLANE_SCROLLBAR;Allocates plane launched nukes;;;;;;;;;;;;;x;;
SELECT_GLOBAL_DESC;Auto targeting ;;;;;;;;;;;;;x;;
SELECT_ECONOMY_DESC;Targets enemy economy;;;;;;;;;;;;;x;;
SELECT_MILITARY_DESC;Targets enemy military;;;;;;;;;;;;;x;;
SELECT_ALL_DESC;Targets both economy and military;;;;;;;;;;;;;x;;
ALLOC_WARHEAD_SALVOES;Allocated warheads;;;;;;;;;;;;;x;;
ALLOC_ICBM_SALVOES;Allocated land based ballistic missile count;;;;;;;;;;;;;x;;
ALLOC_SLBM_SALVOES;Allocated submarine launched missile (SLBM) count;;;;;;;;;;;;;x;;
ALLOC_BOMBER_NUKE_SALVOES;Allocated plane delivered nuke count;;;;;;;;;;;;;x;;
TARGETING_MODE;Targeting Mode;;;;;;;;;;;;;x;;
TARGETLIST_TARGET;Target province;;;;;;;;;;;;;x;;
TARGETLIST_ECO;Eco;;;;;;;;;;;;;x;;
TARGETLIST_MIL;Mil;;;;;;;;;;;;;x;;
TARGETLIST_PLATFORM;Platform Information;;;;;;;;;;;;;x;;
NUCLEAR_PLANE_PAYLOAD;Allows nuclear payload;;;;;;;;;;;;;x;;
NUCLEAR_PLANE_PAYLOAD_DESC;Toggles the plane's capability of carrying a nuclear payload.;;;;;;;;;;;;;x;;
NUCLEAR_PLANE_BUTTON_DOWN_IRO;This plane will be used for nuclear missions.;;;;;;;;;;;;;x;;
NUCLEAR_PLANE_BUTTON_DOWN_DRO;On DEFCON level 1 this plane will require §Y$URANIUM$§W uranium to arm its nuclear warhead(s).;;;;;;;;;;;;;x;;
NUCLEAR_PLANE_BUTTON_UP;This plane is set to conventional bombing missions.;;;;;;;;;;;;;x;;
NUCLEAR_MISSILE_TRACK;§Y$TYPE$§W missile (TRACK ID#§G$ID$§W);;;;;;;;;;;;;x;;
BTN_TARGETS;Targets;;;;;;;;;;;;;x;;
SOV_NUCLEAR_BOMB_LEVEL0;RDS-1 22kt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL0;Fat Man 21kt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL1;Mk-3 50kt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL2;Mk-5 50kt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL3;Mk-6 160kt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL4;Mk-15 3.8Mt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL5;Mk-17 10Mt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL6;Mk-41 25Mt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL7;Mk-53 9Mt Bomb;;;;;;;;;;;;;x;;
USA_NUCLEAR_BOMB_LEVEL8;B-83 1Mt Bomb;;;;;;;;;;;;;x;;
NUCLEAR_PARTIAL;Provinces partially damaged:;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_DISSENT;Dissent fall;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_BUILDINGS;Military buildings ;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_FACTORIES;Economic buildings;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_SPECIAL;Special buildings ;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_DIV;Divisions;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_WING;Wings;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_SHIP;Ships ;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_POP;Population loss ;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_GENERAL;General Damage: ;;;;;;;;;;;;;x;;
NUCLEAR_ATTACK;Nuclear attack;;;;;;;;;;;;;x;;
NO_MISSILES_AVAIL;No missiles available or under reloading.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_INFO;Missile ID: §Y$ID$§W\nWeapon: $WEAPON$\nTarget: §Y$TARGET$§W\nDistance: §Y$DIST$§W km\nLocation: §Y$LOC$§W\nYield: §Y$YIELD$§W;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_NOID;ID available on launch.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_NOLOC;Not launched.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_NOAVAIL;No targets painted on map.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_NOSLIDER;No weapons allocated on panel.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_NOUNIT;No proper/available weapon.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_NOTARGET;No targets.;;;;;;;;;;;;;x;;
NUCLEAR_TARGET_MISSION;Nuclear missions;;;;;;;;;;;;;x;;
NUCLEAR_TARGETING_MODE;Shows target list.;;;;;;;;;;;;;x;;
NUCLEAR_MISSION_MODE;Shows missiles on route.;;;;;;;;;;;;;x;;
NUCLEAR_SILO_STATUS;Silo status;;;;;;;;;;;;;x;;
NUCLEAR_SILO_IDLE;Idle;;;;;;;;;;;;;x;;
NUCLEAR_SILO_WAITING;Waiting for reload;;;;;;;;;;;;;x;;
NUCLEAR_SILO_RELOAD;Reloading;;;;;;;;;;;;;x;;
ICBM_LAUNCH_TIME;Estimated launch time: ;;;;;;;;;;;;;x;;
NUCLEAR_DAMAGE_POP_PCT; of total population;;;;;;;;;;;;;x;;
DEFCON_IRO;Your nation's alert posture.;;;;;;;;;;;;;x;;
DEFCON_DRO;DEFCON 1 Nuclear War is imminent.\n§RDEFCON 2§W Further increase in force readiness, nukes are on alert and ready.\n§YDEFCON 3§W Increase in force readiness above that required for normal readiness.\n§GDEFCON 4§W Increased intelligence watch and strengthened security measures.\n§BDEFCON 5§W Lowest state of readiness.;;;;;;;;;;;;;x;;
DOOMSDAY_CLOCK_IRO;§R$MIN$§W 'Minute(s)' left until §RWorld War III§W.;;;;;;;;;;;;;x;;
DOOMSDAY_CLOCK_DRO;The Doomsday Clock is a symbolic clock face maintained by the board of directors of the Bulletin of the Atomic Scientists. The closer the clock is to midnight, the closer the world is to global nuclear war.;;;;;;;;;;;;;x;;
DEFAULT_SALVO;Missile Salvo Size;;;;;;;;;;;;;x;;
