#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Interface;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
LIBERATE_COUNTRY;Liberate Country;Libérer le pays;Land befreien;;Liberar país;;;;;;;;;x
CREATE_PUPPET;Create Puppet;Créer un État fantoche;Marionettenstaat;;Crear títere;;;;;;;;;x
POLITICAL_ORGANIZATION;Organization;Organisation;Organisation;;Organización;;;;;;;;;x
POLITICAL_POPULARITY;Popularity;Popularité;Beliebtheit;;Popularidad;;;;;;;;;x
RULING_IDEOLOGY;Ruling Ideology;Idéologie dominante;Vorherrschende Ideologie;;Ideología de Gobierno;;;;;;;;;x
CAN_CREATE_VASSAL;Can Create Puppet Nation;;;;;;;;;;;;;x
HAVE_MORE_VASSALS_THAN;Minimum number of Puppets ;;;;;;;;;;;;;x
ELECTIONS_SUSPENDED;Elections suspended;;;;;;;;;;;;;x
ELECTIONS_SUSPENDED_DESC;Elections have been suspended or are restricted to a choice only between candidates from the ruling party.;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Minister Positions;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
head_of_state;Head of State;Chef de l'État;Staatschef;;Jefe de Estado;;;;;;;;;x
head_of_government;Head of Government;Chef du gouvernement;Regierungschef;;Jefe de Gobierno;;;;;;;;;x
foreign_minister;Foreign Minister;Ministre des affaires étrangères;Außenminister;;Ministro Exteriores;;;;;;;;;x
armament_minister;Armament Minister;Ministre de la défense;Kriegsminister;;Ministro Defensa;;;;;;;;;x
minister_of_security;Minister of Security;Ministre de l'intérieur;Minister für innere Sicherheit;;Ministro Seguridad;;;;;;;;;x
minister_of_intelligence;Head of Intelligence;Chef des services secrets;Nachrichtendienstchef;;Jefe de Inteligencia;;;;;;;;;x
chief_of_staff;Chief of Staff;Chef d'état-major;Generalstabschef;;Jefe Estado Mayor;;;;;;;;;x
chief_of_army;Chief of the Army;Chef de l'armée de terre;Armee-Oberfehlshaber;;Jefe del Ejército de Tierra;;;;;;;;;x
chief_of_navy;Chief of the Navy;Chef de la marine;Marine-Oberfehlshaber;;Jefe de la Marina de Guerra;;;;;;;;;x
chief_of_air;Chief of the Air Force;Chef de l'armée de l'air;Luftwaffenoberbefehlshaber;;Jefe de las Fuerzas Aéreas;;;;;;;;;x
head_of_state_desc;The highest ranked official position in a sovereign state and the holder of the vested or implied powers to act as the chief public representative of a state.;;;;;;;;;;;;;x
head_of_government_desc;The chief officer of the executive branch of the government, usually presiding over a cabinet.;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Ideologies;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
fascistic_idolg;Fascist;Fasciste;Faschist;;Fascista;;;;;;;;;x
paternal_auto_idolg;Paternal Autocrat;Autocrate paternaliste;Väterlicher Alleinherrscher;;Autócrata paternalista;;;;;;;;;x
social_cons_idolg;Social Conservative;Conservateur;Sozialkonservativer;;Social conservador;;;;;;;;;x
market_liberal_idolg;Market Liberal;Libéral;Marktliberaler;;Ultraliberal;;;;;;;;;x
social_liberal_idolg;Social Liberal;Social-libéral;Sozialliberaler;;Social liberal;;;;;;;;;x
social_democrat_idolg;Social Democrat;Social-démocrate;Sozialdemokrat;;Socialdemócrata;;;;;;;;;x
left_wing_radical_idolg;Left-Wing Radical;Marxiste;Linksradikaler;;Izquierda radical;;;;;;;;;x
maoist_idolg;Maoist;Maoiste;Maoistisch;;Maoista;;;;;;;;;x
communist_idolg;Communist;Communiste;Kommunistisch;;Comunista;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Ministertypes;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
extremist_type;Extremist;Extrémiste;Extremist;;Extremista;;;;;;;;;x
