##################################################;;;;;;;;;;;;;;x
### Rebel groups ###;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
nationalist_rebels_title;Nationalist;Nationaliste;Nationalist;;Nacionalistas;;;;;;;;;x
nationalist_rebels_name;$INDEP$ Nationalists;$INDEP$ Nationalistes;$INDEP$ Nationalisten;;Nacionalistas de $INDEP$;;;;;;;;;x
nationalist_rebels_desc;Nationalist rebels seek freedom for their people. They are well led and equipped, and they will focus on achieving independence for their nation.;Les rebels nationalistes veulent la liberté pour leur peuple. Ils sont bien menés et bien équipés et ils vont se concentrer sur l'obtention de l'indépendance pour leur nation.;Nationalistische Rebellen kämpfen für die Freiheit ihres Volkes.  Gut diszipliniert und ausgerüstet konzentrieren sich auf die Erlangung der Unabhängigkeit für ihr Land.;;Los rebeldes nacionalistas buscan la libertad de su pueblo. Están bien dirigidos y equipados, y se afanarán en lograr la independencia de su nación.;;;;;;;;;x
nationalist_rebels_army;$COUNTRY$ Nationalists;$COUNTRY$ Nationalistes;$COUNTRY$ Nationalisten;;Nacionalistas de $COUNTRY$;;;;;;;;;x
patriot_rebels_title;Patriot;Patriote;Patriot;;Patriotas;;;;;;;;;x
patriot_rebels_name;$INDEP$ Patriots;$INDEP$ Patriotes;$INDEP$ Patrioten;;Patriotas de $INDEP$;;;;;;;;;x
patriot_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner. Beware, because provinces taken by them may defect.;Les rebels patriotes rêvent d'être unifiés à leur tribu culturelle sous une bannière libre. Prenez garde, les provinces sous leur contrôle peuvent déserter.;Patriotische Rebellen träumen davon, mit ihren Gleichgesinnten einen eigenen Staat zu gründen. Seien Sie auf der Hut, denn von diesen Rebellen übernommene Provinzen könnten sich abspalten.;;Los rebeldes patriotas sueñan con la unificación de su ámbito cultural bajo una bandera soberana. Cuidado, pues las provincias que caigan en sus manos pueden desertar.;;;;;;;;;x
patriot_rebels_army;$COUNTRY$ Patriots;$COUNTRY$ Patriotes;$COUNTRY$ Patrioten;;Patriotas de $COUNTRY$;;;;;;;;;x
partisans_title;Partisans;Partisans;Partisanen;;Partisanos;;;;;;;;;x
partisans_name;Partisans;Partisans;Partisanen;;Partisanos;;;;;;;;;x
partisans_desc;Partisans fight against enemy occupiers, and they dream of expelling their enemy from the country.;Les partisans se battent contre l'occupant ennemi tout en rêvant de chasser leur ennemi du pays.;Partisanen kämpfen gegen feindliche Besatzungstruppen und träumen davon, den Feind aus ihrem Land zu vertreiben.;;Los partisanos luchan contra el enemigo ocupante y albergan el sueño de expulsarlo de su país.;;;;;;;;;x
partisans_army;$COUNTRY$ Partisans;$COUNTRY$ Partisans;$COUNTRY$ Partisanen;;Partisanos de $COUNTRY$;;;;;;;;;x
disgruntled_rabble_title;Disgruntled Rabble;Populace en colère;Aufstand gegen die Besatzer;;Chusma descontenta;;;;;;;;;x
disgruntled_rabble_name;Disgruntled Rabble;Populace en colère;Aufstand gegen die Besatzer;;Chusma descontenta;;;;;;;;;x
