#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
SHIP_STAT_1_NAME;DEFAULT_ORG;;;;;;;;;;;;;x
SHIP_STAT_1_ICON;GFX_icon_org;;;;;;;;;;;;;x
SHIP_STAT_2_NAME;RANGE;;;;;;;;;;;;;x
SHIP_STAT_2_ICON;GFX_icon_range;;;;;;;;;;;;;x
SHIP_STAT_3_NAME;MAXIMUM_SPEED;;;;;;;;;;;;;x
SHIP_STAT_3_ICON;GFX_icon_speed;;;;;;;;;;;;;x
SHIP_STAT_4_NAME;HULL;;;;;;;;;;;;;x
SHIP_STAT_4_ICON;GFX_icon_hull;;;;;;;;;;;;;x
SHIP_STAT_5_NAME;VISIBILITY;;;;;;;;;;;;;x
SHIP_STAT_5_ICON;GFX_icon_visibility;;;;;;;;;;;;;x
SHIP_STAT_6_NAME;TRANSPORT_CAPABILITY;;;;;;;;;;;;;x
SHIP_STAT_6_ICON;GFX_icon_trans_cap;;;;;;;;;;;;;x
SHIP_STAT_7_NAME;SUPPLY_CONSUMPTION;;;;;;;;;;;;;x
SHIP_STAT_7_ICON;GFX_icon_sc;;;;;;;;;;;;;x
SHIP_STAT_8_NAME;FUEL_CONSUMPTION;;;;;;;;;;;;;x
SHIP_STAT_8_ICON;GFX_icon_oc;;;;;;;;;;;;;x
SHIP_STAT_10_NAME;SEA_ATTACK;;;;;;;;;;;;;x
SHIP_STAT_10_ICON;GFX_icon_sea_a;;;;;;;;;;;;;x
SHIP_STAT_11_NAME;SUB_ATTACK;;;;;;;;;;;;;x
SHIP_STAT_11_ICON;GFX_icon_sub_a;;;;;;;;;;;;;x
SHIP_STAT_13_NAME;AIR_ATTACK;;;;;;;;;;;;;x
SHIP_STAT_13_ICON;GFX_icon_air_a;;;;;;;;;;;;;x
SHIP_STAT_14_NAME;AIR_DEFENCE;;;;;;;;;;;;;x
SHIP_STAT_14_ICON;GFX_icon_air_det;;;;;;;;;;;;;x
SHIP_STAT_15_NAME;STRATEGIC_ATTACK;;;;;;;;;;;;;x
SHIP_STAT_15_ICON;GFX_icon_strat_a;;;;;;;;;;;;;x
SHIP_STAT_16_NAME;PRIMARY_AMMO;;;;;;;;;;;;;x
SHIP_STAT_16_ICON;GFX_icon_ammo_p;;;;;;;;;;;;;x
SHIP_STAT_17_NAME;SECONDARY_AMMO;;;;;;;;;;;;;x
SHIP_STAT_17_ICON;GFX_icon_ammo_s;;;;;;;;;;;;;x
SHIP_STAT_SENSOR_1_NAME;SURFACERADAR_RANGE;;;;;;;;;;;;;x
SHIP_STAT_SENSOR_1_ICON;GFX_icon_sur_det;;;;;;;;;;;;;x
SHIP_STAT_SENSOR_2_NAME;AIRRADAR_RANGE;;;;;;;;;;;;;x
