#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
### Spy Agent names ###;;;;;;;;;;;;;;x
russian_male_1;Karl Koecher/AG-001;;;;;;;;;;;;;x
russian_male_2;Alexander Koral/AG-002;;;;;;;;;;;;;x
russian_male_3;Oleg Gordievsky/AG-003;;;;;;;;;;;;;x
russian_male_4;Alexander Feklisov/AG-004;;;;;;;;;;;;;x
russian_male_5;Viktor Karpov/AG-005;;;;;;;;;;;;;x
russian_female_1;Anna Spayova/AG-006;;;;;;;;;;;;;x
russian_female_2;Elena Antonova/AG-007;;;;;;;;;;;;;x
english_male_1;Jack Soble/007;;;;;;;;;;;;;x
english_male_2;Anthony Blunt/006;;;;;;;;;;;;;x
english_male_3;Harry Houghton/003;;;;;;;;;;;;;x
english_male_4;Gerry Droller/008;;;;;;;;;;;;;x
english_male_5;Maurice Oldfield/005;;;;;;;;;;;;;x
english_female_1;Ruth Greenglass/004;;;;;;;;;;;;;x
english_female_2;Myra Soble/001;;;;;;;;;;;;;x
german_male_1;Markus Wolf/G001;;;;;;;;;;;;;x
german_male_2;Erich Mielke/G002;;;;;;;;;;;;;x
german_male_3;Werner Grossmann/G003;;;;;;;;;;;;;x
german_male_4;Hans Sommer/G004;;;;;;;;;;;;;x
german_male_5;Rainer Rupp/G005;;;;;;;;;;;;;x
german_female_1;Tamara Bunke/G006;;;;;;;;;;;;;x
german_female_2;Gerda Munsinger/G006;;;;;;;;;;;;;x
### Spy Card Names and Descriptions;;;;;;;;;;;;;x;
SPREAD_UNREST_card;Spead Unrest;;;;;;;;;;;;;x
SPREAD_UNREST_card_desc;This card enables the spy to spread unrest in the target province, causing an increase in dissent, decreasing local support for the target nation’s ruling party, and inciting desertion among military units stationed in the province.;;;;;;;;;;;;;x
MILITARY_SABOTAGE_card;Military Sabotage;;;;;;;;;;;;;x
MILITARY_SABOTAGE_card_desc;This card enables military sabotage missions where the spy will destroy military buildings and equipment, and incite troop desertion.;;;;;;;;;;;;;x
POSITIVE_INFLUENCE_card;Positive Influence.;;;;;;;;;;;;;x
POSITIVE_INFLUENCE_card_desc;This card allows the spy to conduct missions to increase the target population's to support of the ruling government and bring the target closer in alignment to NATO.;;;;;;;;;;;;;x
NEGATIVE_INFLUENCE_card;Negative Influence.;;;;;;;;;;;;;x
NEGATIVE_INFLUENCE_card_desc;This card allows the spy to conduct missions to increase the target population's to support of the ruling government and bring the target closer to neutral in alignment.;;;;;;;;;;;;;x
SPECIAL_WARSAW_card;Special Warsaw;;;;;;;;;;;;;x
SPECIAL_WARSAW_card_desc;This card provides missions specific to Warsaw Pact countries.;;;;;;;;;;;;;x
ACE_OF_SPADES_card;Ace of Spades;;;;;;;;;;;;;x
DIPLOMACY_card;Diplomacy;;;;;;;;;;;;;x
DIPLOMACY_card_desc;This card provides covert diplomatic missions.;;;;;;;;;;;;;x
STRATEGIC_COMMAND_card;Strategic Command;;;;;;;;;;;;;x
STRATEGIC_COMMAND_card_desc;This card provides strategic/country level operations.;;;;;;;;;;;;;x
SUPER_ASSASIN_card;Super Assassin;;;;;;;;;;;;;x
SUPER_ASSASIN_card_desc;This card enables very efficient assassination missions for targeting enemy leaders.;;;;;;;;;;;;;x
ASSASIN_card;Assassin;;;;;;;;;;;;;x
ASSASIN_card_desc;This card enables assassination missions targeting for enemy leaders.;;;;;;;;;;;;;x
REBEL_LEADER_card;Rebel Leader;;;;;;;;;;;;;x
REBEL_LEADER_card_desc;This card enables missions to support rebel movements.;;;;;;;;;;;;;x
LICENSE_TO_KILL_card;License to Kill;;;;;;;;;;;;;x
LICENSE_TO_KILL_card_desc;This card enables missions for targeting foreign spies.;;;;;;;;;;;;;x
### Labels;;;;;;;;;;;;;x;
SPYPOINTS;Spy Points;;;;;;;;;;;;;x;;
SPY_FEMALE;Female;;;;;;;;;;;;;x;;
SPY_MALE;Male;;;;;;;;;;;;;x;;
SPY_LABEL_NAME;Name / Last Name;;;;;;;;;;;;;x;;
SPY_LABEL_DATE;Date of Birth;;;;;;;;;;;;;x;;
SPY_LABEL_NAT;Nationality;;;;;;;;;;;;;x;;
SPY_LABEL_SIGN;Signature;;;;;;;;;;;;;x;;
SPY_LABEL_GENDER;Sex;;;;;;;;;;;;;x;;
SPY_LABEL_RANK;Rank;;;;;;;;;;;;;x;;
SPY_LABEL_RUSSIAN_NAME;Familia #Names;;;;;;;;;;;;;x;;
SPY_LABEL_RUSSIAN_DATE;Lfnf hj:ltybz;;;;;;;;;;;;;x;;
SPY_LABEL_RUSSIAN_NAT;Yfwbjyfkmyjcnm;;;;;;;;;;;;;x;;
SPY_LABEL_RUSSIAN_SIGN;Gjlgbcm;;;;;;;;;;;;;x;;
SPY_LABEL_RUSSIAN_GENDER;Gjl;;;;;;;;;;;;;x;;
SPY_LABEL_RUSSIAN_RANK;Pdfybt;;;;;;;;;;;;;x;;
SPYCARD_TITLE;§CSPY CENTER§W;;;;;;;;;;;;;x;;
SPY_SKILL_CODENAME_1;Revolver;;;;;;;;;;;;;x;;
SPY_SKILL_CODENAME_2;Pistol;;;;;;;;;;;;;x;;
SPY_SKILL_CODENAME_3;Carbine;;;;;;;;;;;;;x;;
SPY_SKILL_CODENAME_4;Rifle;;;;;;;;;;;;;x;;
SPY_SKILL_CODENAME_5;Shotgun;;;;;;;;;;;;;x;;
CONFIRM_SPY_ACTION_TITLE;Spy mission;;;;;;;;;;;;;x;;
CONFIRM_SPY_ACTION_DESC;Are you sure you wish to send §Y$NAME$§W to §G$PROVINCE$§W to execute §Y$MISSION$§W mission ?;;;;;;;;;;;;;x;;
CONFIRM_SPY_COUNTRY_DESC;Are you sure you wish to send §Y$NAME$§W to §G$COUNTRY$§W to execute §Y$MISSION$§W mission ?;;;;;;;;;;;;;x;;
CONFIRM_DELETE_SPYCARD_TITLE;Remove spy card;;;;;;;;;;;;;x;;
CONFIRM_DELETE_SPYCARD_DESC;Are you sure to remove the card '§Y$NAME$§W' ?;;;;;;;;;;;;;x;;
CONFIRM_SAT_ACTION_TITLE;Satellite activation;;;;;;;;;;;;;x;;
CONFIRM_SAT_ACTION_DESC;Are you sure you wish to send satellite(s) over §G$PROVINCE$§W to execute §Y$MISSION$§W mission?;;;;;;;;;;;;;x;;
CONFIRM_GLOBAL_ACTION_DESC;Are you sure you wish to send satellite(s) to execute §Y$MISSION$§W mission?;;;;;;;;;;;;;x;;
### Mission types;;;;;;;;;;;;;;x
kill_random_minister_title;Kill random minister;;;;;;;;;;;;;x
reveal_enemy_spy_in_province_title;Reveal enemy spy;;;;;;;;;;;;;x
incite_revolt_title;Incite revolt;;;;;;;;;;;;;x
incite_revolt_result;Revolt risk increased from §Y$OLDVALUE$§W to §Y$NEWVALUE$§W in §Y$PROVINCE$§W.;;;;;;;;;;;;;x
sabotage_research_title;Sabotage research;;;;;;;;;;;;;x
#reveal_fog_title;Reveal Fog of War;;;;;;;;;;;;;x
reveal_fog_result;Our spy revealed Fog of War in §Y$NAME$§W on level §G$LEVEL$§W for §Y$DAYS$§W day(s).;;;;;;;;;;;;;x
#make_desert_title;Infiltrate Enemy Forces;;;;;;;;;;;;;x
#sabotage_equipment_title;Sabotage Enemy Forces;;;;;;;;;;;;;x
steal_blueprint_title;Steal Blueprint;;;;;;;;;;;;;x
#assassinate_hog_title;Assassinate Head of Government;;;;;;;;;;;;;x
#assassinate_hos_title;Assassinate Head of State;;;;;;;;;;;;;x
#sabotage_building_title;Small-scale Sabotage;;;;;;;;;;;;;x
#sabotage_buildings_title;Large-scale Sabotage;;;;;;;;;;;;;x
SHOW_NUCLEAR_title;Nuclear Intelligence;;;;;;;;;;;;;x
SHOW_NUCLEAR_desc;By getting his/her hands on the target's nuclear weapons positioning data, our spy will reveal enemy silo positions on the map.\n;;;;;;;;;;;;;x
show_nuclear_result;Our spy revealed nuclear installation in §G$COUNTRY$§W.\n;;;;;;;;;;;;;x
show_nuclear_effect;Shows enemy nuclear installations.\n;;;;;;;;;;;;;x
kill_random_minister_desc;Kill random minister\n;;;;;;;;;;;;;x
reveal_enemy_spy_in_province_desc;Reveal enemy spy\n;;;;;;;;;;;;;x
incite_revolt_desc;Incite Revolt\n;;;;;;;;;;;;;x
sabotage_research_desc;Sabotage Research\n;;;;;;;;;;;;;x
#reveal_fog_desc;Reveal Fog of War\n;;;;;;;;;;;;;x
#make_desert_desc;Infiltrate enemy forces in order to spread dissent amongst them, causing desertion.\n;;;;;;;;;;;;;x
#sabotage_equipment_desc;Infiltrate enemy forces in order to sabotage equipment.\n;;;;;;;;;;;;;x
steal_blueprint_desc;Steal Blueprint\n;;;;;;;;;;;;;x
#sabotage_building_desc;Sabotage a building\n;;;;;;;;;;;;;x
#sabotage_buildings_desc;Sabotage buildings: Airport, Port, Radar, Anti-aircraft Batteries\n;;;;;;;;;;;;;x
#assassinate_hog_desc;Assassinate HOG\n;;;;;;;;;;;;;x
#assassinate_hos_desc;Assassinate HOS\n;;;;;;;;;;;;;x
sabotage_building_effect;Sabotage $NAME$ in target province.\n;;;;;;;;;;;;;x
assassinate_hog_effect;Assassinate Head of Government in target country.\n;;;;;;;;;;;;;x
assassinate_hos_effect;Assassinate Head of State in target country.\n;;;;;;;;;;;;;x
reveal_fog_effect;Reveal fog in target province on level §G$LEVEL$§W.\n;;;;;;;;;;;;;x
steal_blueprint_effect;Steal blueprint from target country.\n;;;;;;;;;;;;;x
#sat_surv_title;Satellite surviellance;;;;;;;;;;;;;x
