#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Abilities;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
MAX_STRENGTH;Max Strength;Puissance max;Max. Stärke;;Fuerza máxima;;;;;;;;;x
DEFAULT_ORG;Organization;Organisation;Organisation;;Organización;;;;;;;;;x
DEFAULT_MORALE;Morale;Moral;Moral;;Moral;;;;;;;;;x
BUILD_COST_IC;IC Build Cost;Coût de construction CI;IK-Baukosten;;Coste de construcción en CI;;;;;;;;;x
BUILD_COST_MP;Manpower Cost;Coût en main d'œuvre;Mannstärke-Kosten;;Coste rec. hum.;;;;;;;;;x
BUILD_TIME;Build Time;Durée de construction;Bauzeit;;Tiempo cons.;;;;;;;;;x
MAXIMUM_SPEED;Max Speed;Vitesse max;Max. Geschw.;;Velocidad máxima;;;;;;;;;x
TRANSPORT_WEIGHT;Weight;Poids;Gewicht;;Peso;;;;;;;;;x
SUPPLY_CONSUMPTION;Supply Consumption;Consommation en ravitaillement;Nachschubverbrauch;;Consumo suministros;;;;;;;;;x
FUEL_CONSUMPTION;Fuel Consumption;Consommation en carburant;Treibstoffverbrauch;;Consumo combustible;;;;;;;;;x
DEFENSIVENESS;Defensiveness;Capacités défensives;Verteidigungskraft;;Defensa;;;;;;;;;x
TOUGHNESS;Toughness;Résistance;Zähigkeit;;Resistencia;;;;;;;;;x
SOFTNESS;Softness;Faiblesses;Schwäche;;Debilidad;;;;;;;;;x
AIR_DEFENCE;Air Defense;Défense aérienne;Luftverteidigung;;Defensa aérea;;;;;;;;;x
SUPPRESSION;Suppression;Répression;Unterdrückung;;Neutralización;;;;;;;;;x
SOFT_ATTACK;Soft Attack;Attaque de cibles non blindées;Angr. auf ungep. Ziele;;Ataque antipersonal;;;;;;;;;x
HARD_ATTACK;Hard Attack;Attaque de cibles blindées;Angr. auf gep. Ziele;;Ataque anticarro;;;;;;;;;x
AIR_ATTACK;Air Attack;Attaque aérienne;Angr. auf Luftziele;;Ataque aéreo;;;;;;;;;x
COMBAT_WIDTH;Combat Width;Aire de combat;Gefechtsbreite;;Anchura de combate;;;;;;;;;x
GDE_FROM_TECH;Ground Defense Efficiency;Efficacité de la défense au sol;Bodenverteidigungseffizienz;;Eficacia defensa terrestre;;;;;;;;;x
DIGIN_FROM_TECH;Dig-In Cap;Capacité à se retrancher;Max. Eingrabung;;Cap. antrinch.;;;;;;;;;x
ATTACK_DELAY_FROM_TECH;Delay between attacks reduced with;Temps entre les attaques réduit par;Verzögerung zw. Angriffen reduziert um;;Retraso entre ataques reducido con;;;;;;;;;x
AD_HOURS;hours;heures;Stunden;;horas;;;;;;;;;x
PRIMARY_AMMO;Primary Ammunition;;;;;;;;;;;;;x
SECONDARY_AMMO;Secondary Ammunition;;;;;;;;;;;;;x
DIVISION_SIZE_FROM_TECH;Allowed Brigades in Division;Brigades autorisées dans la division;Erlaubte Brigadenzahl in Division;;Brigadas permitidas en división;;;;;;;;;x
SUPPLY_TRANSFER_COST_TECH;Supply Transfer Cost;Coût du transfert du ravitaillement;Nachschub-Transferkosten;;Coste de transferencia de suministros;;;;;;;;;x
SUPPLY_THROUGHPUT_TECH;Supply Throughput;Capacité en ravitaillement;Nachschubdurchsatz;;Rendimiento de los suministros;;;;;;;;;x
REFINERY_EFFICIENCY_TECH;Refining Efficiency;Efficacité du raffinage;Raffinierungseffizienz;;Rendimiento del refinado;;;;;;;;;x
RADAR_EFFICIENCY_TECH;Radar Efficiency;Efficacité radar;Radareffizienz;;Eficacia de radares;;;;;;;;;x
RADIO_STRENGTH_TECH;Radio Strength;Puissance radio;Funkstärke;;Potencia de radiotransmisión;;;;;;;;;x
DECRYPTION_TECH;Decryption Ability;Capacité en décryptage;Dekodierungsfähigkeit;;Capacidad de descifrado;;;;;;;;;x
ENCRYPTION_TECH;Encryption Ability;Capacité en cryptage;Kodierungsfähigkeit;;Capacidad de cifrado;;;;;;;;;x
INTEL_OP_US_TECH;Intel ops;Ops de renseignements;Spionageaktionen;;Operaciones de inteligencia;;;;;;;;;x
INTEL_OP_THEM_TECH;Counterintel Ops;Ops de contre-renseignements;Gegenspionageaktionen;;Operaciones de contrainteligencia;;;;;;;;;x
CONVOY_COST_TECH;Convoy Build Cost;Coût de construction du convoi;Konvoi-Baukosten;;Coste de construcción de convoy;;;;;;;;;x
CONVOY_TIME_TECH;Convoy Build Time;Durée de construction du convoi;Konvoi-Bauzeit;;Tiempo de construcción de convoy;;;;;;;;;x
ESCORT_COST_TECH;Escort Build Cost;Coût de construction de l'escorte;Eskorte-Baukosten;;Coste de construcción de escolta;;;;;;;;;x
ESCORT_TIME_TECH;Escort Build Time;Durée de construction de l'escorte;Eskorte-Bauzeit;;Tiempo de construcción de escolta;;;;;;;;;x
UNIT_COOP_TECH;Unit Cooperation;Coopération de l'unité;Einheitenkooperation;;Cooperación de unidades;;;;;;;;;x
COMBINED_ARMS_TECH;Combined Arms Bonus;Bonus pour les armes combinées;Bonus für Op. verb. Kräfte;;Bonificación por interarma;;;;;;;;;x
