##################################################;;;;;;;;;;;;;;x
# Triggered Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
naval_supremacy_in_north_america;North American Naval Dominance;;;;;;;;;;;;;x
desc_naval_supremacy_in_north_america;You control the key naval bases in order to dominate North America with your fleets.;;;;;;;;;;;;;x
naval_supremacy_in_the_east;Naval Supremacy in the East;;Seeherrschaft im Osten;;;;;;;;;;;x
desc_naval_supremacy_in_the_east;You control the majority of the naval bases in the east;;Ihr kontrolliert die Mehrzahl der Flottenstützpunkte im Osten;;;;;;;;;;;x
unexpected_reinforcement;Unexpected Reinforcement;;Unerwartete Verstärkung;;;;;;;;;;;x
desc_unexpected_reinforcement;The great relationship with your neighboring country has led to an increase of soldiers.;;Die guten Beziehungen zu eurem Nachbarland haben zu einer Verstärkung an Soldaten geführt.;;;;;;;;;;;x
neutrality;Neutrality;;Neutralität;;;;;;;;;;;x
desc_neutrality;$COUNTRYNAME$ is not a member of any faction: neither NATO or Warsaw Pact.;;;;;;;;;;;;;x
winter_war;Winter War;;Winterkrieg;;;;;;;;;;;x
desc_winter_war;The Winter War was a military conflict between the Soviet Union and Finland that took place from 30 November 1939 to 13 March 1940. It began with a Soviet offensive and ended with the Moscow Peace Treaty. The League of Nations deemed the attack illegal and expelled the Soviet Union on 14 December 1939.;;Der Winterkrieg fand zwischen dem 30 November 1939 und dem 13 März 1940 statt und war eine militärische Auseinandersetzung zwischen der Sowjetunion und Finnland. Er begann mit einer Sowjetischen Offensive und endete mit dem Frieden von Moskau. Der Völkerbung befand den Angriff für illegal und schloss die Sowjetunion am 14 Dezember 1939 aus.;;;;;;;;;;;x
sino_soviet_nonaggression_pact;Sino-Soviet Nonaggression Pact;;Chinesisch-Sovietischer Nichangriffspakt;;;;;;;;;;;x
desc_sino_soviet_nonaggression_pact;The Sino-Soviet Nonaggression Pact was signed on August 21 1937 between the Republic of China and the Soviet Union during the Second Sino-Japanese War.;;Der Chinesisch-Sovietischer Nichangriffspakt wurde am 21 August 1937 unterschrieben zwischen der Republik China und der Sovietunion während des zweiten chinesisch-japanischen Kriegs.;;;;;;;;;;;x
polish_corridor_pol;Polish Corridor;;Polnischer Korridor;;;;;;;;;;;x
desc_polish_corridor_pol;You control the Polish Corridor;;Ihr kontrolliert den polnischen Korridor;;;;;;;;;;;x
polish_corridor_ger;Polish Corridor;;Polnischer Korridor;;;;;;;;;;;x
desc_polish_corridor_ger;You control the Polish Corridor;;Ihr kontrolliert den polnischen Korridor;;;;;;;;;;;x
polish_corridor;Polish Corridor;;Polnischer Korridor;;;;;;;;;;;x
desc_polish_corridor;You control the Polish Corridor;;Ihr kontrolliert den polnischen Korridor;;;Ihr seit Teil des Französisch-Polnischen Vertrags, einer Militärallianz die ursprünglich zwischen Polen und Frankreich zwischn 1921 und 1940 in Kraft war.;;;;;;;;x
pact_of_steel;Pact of Steel;;Stahlpakt;;;;;;;;;;;x
desc_pact_of_steel;The Pact of Steel was an agreement between Fascist Italy and Nazi Germany signed on May 22, 1939. The Pact consisted of two parts: the first section was an open declaration of continuing trust and cooperation between Germany and Italy while the second encouraged a union of policies concerning the military and economy.;;Der Stahlpakt war ein Vertrag zwischen dem faschistischen Italien und Nazideutschland, der am 22 Mai 1939 unterschrieben wurde. Der Pakt beinhaltete 2 Teile: Der erste Teil war eine offene Erklärung des Vertrauens und der Kooperation zwischen den Ländern, während der 2 Teil eine Union bezüglich der Militär-und Wirtschaftspolitik ins Leben rief.;;;;;;;;;;;x
lapland_war;Lapland War;;Lapplandkrieg;;;;;;;;;;;x
desc_lapland_war;The Lapland War was fought between Finland and Nazi Germany from September 1944 to April 1945.;;Der Lapplandkrieg wurde von September 1944 bis April 1945 zwischen Finnland und Nazideutschland geschlagen.;;;;;;;;;;;x
general_winter;General Winter;;General Winter;;;;;;;;;;;x
desc_general_winter;The cold winter, and the lack of winter clothes and other essential goods have been hard on the troops. Hunger and disease are rampant among the men and it has given the Russians a big advantage. General Winter may lead the Russians to victory.;;Der kalte Winter, das Fehlen von Winterkleidung und anderer wichtiger Ausrüstung hat den Truppen hart zugesetzt. Hunger und Krankheit sein weitverbreitet und das hat den Russen einen Vorteil verschafft. General Winter könnte Russland einmal mehr den Sieg bringen.;;;;;;;;;;;x
great_army;Great Army;;Große Armee;;;;;;;;;;;x
desc_great_army;Tanks, battleships and armed men... Your army is greater than ever, and your enemies should tremble in fear.;;Panzer, Geschütze und Truppen…eure Armee ist größer denn je, und eure Feinde sollten davor erzittern.;;;;;;;;;;;x
great_naval_army;Grand Fleet;;Große Flotte;;;;;;;;;;;x
desc_great_naval_army;As far as the eye can see, the ocean is filled with your battleships. Your enemies should tremble in fear of your great navy.;;Soweit man sehen kann ist der Ozean von euren Schlachtschiffen erfüllt. Eure Feinde sollten vor eurer Flotte erzittern.;;;;;;;;;;;x
great_air_army;Great Air Force;;Große Luftwaffe;;;;;;;;;;;x
desc_great_air_army;Your airplanes blot out the sun in the sky. Your enemies should tremble in fear of your great air power.;;Der Himmel ist voll von unseren Flugzeugen. Eure Feinde sollten vor eurer Luftwaffe erzittern.;;;;;;;;;;;x
prosperous_convoy;Prosperous Convoy;;Wichtiger Konvoi;;;;;;;;;;;x
desc_prosperous_convoy;Your convoys are able to safely reach their destination, given the large number of ships sailing together. The system used is similar to the convoy system used by the British during World War II. The system was initially voluntary and later compulsory for almost all merchant ships. Each convoy consisted of between 30 and 70 mostly unarmed merchant ships.;;Euer Konvoi könnte durch die große Menge an Schiffen, die zusammen fahren, sein Ziel sicher erreichen. Das verwendete System ist vergleichbar mit dem Konvoisystem, dass die Briten im zweiten Weltkrieg einsetzten. Das System war zuerst freiwillig, später aber verpflichtent für fast alle Handelsschiffe. Jeder Konvoi bestand aus 30 bis 70 meist unbewaffnete Handelsschiffen.;;;;;;;;;;;x
veteran_army;Veteran Army;;Erfahrene Armee;;;;;;;;;;;x
desc_veteran_army;Whether the fighting has been on land, at sea or in the air, your men have done you proud. Few countries can boast of so many won land battles.;;Egal ob der Kampf am Land, auf See oder in der Luft stattfindet, eure Männer haben euch Ehre gemacht. Wenige Nationen haben so viele Landschlachten gewonnen.;;;;;;;;;;;x
veteran_navy;Veteran Navy;;Erfahrene Flotte;;;;;;;;;;;x
desc_veteran_navy;Whether the fighting has been on land, at sea or in the air, your men have done you proud. Few countries can boast of so many won sea battles.;;Egal ob der Kampf am Land, auf See oder in der Luft stattfindet, eure Männer haben euch Ehre gemacht. Wenige Nationen haben so viele Seeschlachten gewonnen.;;;;;;;;;;;x
veteran_air_force;Veteran Air Force;;Erfahrene Luftwaffe;;;;;;;;;;;x
desc_veteran_air_force;Whether the fighting has been on land, at sea or in the air, your men have done you proud. Few countries can boast of so many won air battles.;;Egal ob der Kampf am Land, auf See oder in der Luft stattfindet, eure Männer haben euch Ehre gemacht. Wenige Nationen haben so viele Luftschlachten gewonnen.;;;;;;;;;;;x
mediterranean_control;Control over the Mediterranean;;Kontrolle über das Mittelmeer.;;;;;;;;;;;x
desc_mediterranean_control;You control the whole Mediterranean area;;Ihr kontrolliert das gesamte Mittelmeer.;;;;;;;;;;;x
blockade_mediterranean;Blockade of the Mediterranean;;Blockade des Mittelmeeres.;;;;;;;;;;;x
desc_ blockade_mediterranean;The Mediterranean is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Das Mittelmeer ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_panama_channel;Panama Canal;;Panamakanal;;;;;;;;;;;x
desc_control_over_panama_channel;You control the Panama Canal;;Ihr kontrolliert den Panamakanal;;;;;;;;;;;x
blockade_panama_channel;Blockade of the Panama Canal;;Blockade des Panamakanals;;;;;;;;;;;x
desc_blockade_panama_channel;The Panama Canal is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Panamakanal ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_the_black_sea;Black Sea;;Schwarzes Meer;;;;;;;;;;;x
desc_control_over_the_black_sea;You control the Black Sea;;Ihr kontrolliert das schwarze Meer;;;;;;;;;;;x
blockade_black_sea;Blockade of the Black Sea;;Blockade des schwarzen Meeres;;;;;;;;;;;x
desc_blockade_black_sea;The Black Sea is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts;;Das schwarze Meer ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_suez_channel;Suez Canal;;Suezkanal;;;;;;;;;;;x
desc_control_over_suez_channel;You control the Suez Canal;;Ihr kontrolliert den Suezkanal;;;;;;;;;;;x
blockade_suez_channel;Blockade of the Suez Canal;;Blockade des Suezkanals;;;;;;;;;;;x
desc_blockade_suez_channel;The Suez Canal is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Suezkanal ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_makassar_strait;Makassar Strait;;Straße von Makassar;;;;;;;;;;;x
desc_control_over_makassar_strait;You control Makassar Strait;;Ihr kontrolliert die Straße von Makassar;;;;;;;;;;;x
blockade_makassar_strait;Blockade of Makassar Strait;;Blockade der Straße von Makassar;;;;;;;;;;;x
desc_blockade_makassar_strait;Makassar Strait is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Die Straße von Makassar ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_gibraltar;Gibraltar;;Gibraltar;;;;;;;;;;;x
desc_control_over_gibraltar;You control Gibraltar;;Ihr kontrolliert Gibraltar;;;;;;;;;;;x
blockade_gibraltar;Blockade of Gibraltar;;Blockade von Gibraltar;;;;;;;;;;;x
desc_blockade_gibraltar;Gibraltar is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Gibraltar ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_oresund;Öresund;;Öresund;;;;;;;;;;;x
desc_control_over_oresund;You control Öresund;;Ihr kontrolliert den Öresund;;;;;;;;;;;x
blockade_oresund;Blockade of Öresund;;Blockade des Öresund;;;;;;;;;;;x
desc_blockade_oresund;Öresund is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Öresund ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_english_channel;English Channel;;Englischer Channel;;;;;;;;;;;x
desc_control_english_channel;You have control over the English Channel;;Ihr kontrolliert den englischen Channel;;;;;;;;;;;x
blockade_english_channel;Blockade of the English Channel;;Blockade des englischen Channel;;;;;;;;;;;x
desc_blockade_english_channel;The English Channel is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der englische Channel ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_persian_gulf;Persian Gulf;;Persischer Golf;;;;;;;;;;;x
desc_control_over_persian_gulf;You control the Persian Gulf;;Ihr kontrolliert den persischen Golf;;;;;;;;;;;x
blockade_persian_gulf;Blockade of the Persian Gulf;;Blockade des persischen Golfes;;;;;;;;;;;x
desc_blockade_persian_gulf;The Persian Gulf is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der persische Golf ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_tonkin_gulf;Gulf of Tonkin;;Golf von Tonkin;;;;;;;;;;;x
desc_control_over_tonkin_gulf;You control the Gulf of Tonkin;;Ihr kontrolliert den Golf von Tonkin ;;;;;;;;;;;x
blockade_tonkin_gulf;Blockade of the Gulf of Tonkin;;Blockade des Golfes von Tonkin;;;;;;;;;;;x
desc_blockade_tonkin_gulf;The Gulf of Tonkin is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Golf von Tonkin ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_mexico_gulf;Gulf of Mexico;;Golf von Mexiko;;;;;;;;;;;x
desc_control_over_mexico_gulf;You control the Gulf of Mexico;;Ihr kontrolliert den Golf von Mexiko;;;;;;;;;;;x
blockade_mexico_gulf;Blockade of the Gulf of Mexico;;Blockade des Golfes von Mexiko;;;;;;;;;;;x
desc_ blockade_mexico_gulf;The Gulf of Mexico is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Golf von Mexiko ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_iskenderun_gulf;Turkish Strait;;Golf von Iskenderum;;;;;;;;;;;x
desc_control_over_iskenderun_gulf;You control the Turkish Strait;;Ihr kontrolliert den Golf von Iskenderum;;;;;;;;;;;x
blockade_iskenderun_gulf;Blockade of the Turkish Strait;;Blockade des Golfes von Iskenderum;;;;;;;;;;;x
desc_blockade_iskenderun_gulf;The Turkish Strait is blocked. Ships laden with provisions and other goods can't get to the blocked ports and are forced to change their route. Supplies in the blocked areas are low, which may lead to revolts.;;Der Golf von Iskenderum ist blockiert. Schiffe mit Versorgungs- und anderen Gütern können die blockierten Häfen nicht anlaufen und müssen ihre Route ändern. Die Versorgung in den blockierten Gebieten ist schlecht, was zu Revolten führen könnte.;;;;;;;;;;;x
control_over_chihli_gulf;Chihli Gulf;;Chihli Golf;;;;;;;;;;;x
desc_control_over_chihli_gulf;You control the Chihli Gulf;;Ihr kontrolliert den Chihli Golf;;;;;;;;;;;x
