#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
TUT_PART_1_TITLE;The Basic Tutorial;;;;;;;;;;;;;x
TUT_PART_1_SHORT;The Basics;;;;;;;;;;;;;x
TUT_PART_1_DESC;In this tutorial we will be introducing to you the basics of East vs West.;;;;;;;;;;;;;x
TUT_PART_2_TITLE;The Advanced Tutorial;;;;;;;;;;;;;x
TUT_PART_2_SHORT;Advanced Cold War;;;;;;;;;;;;;x
TUT_PART_2_DESC;In this tutorial the more advanced features of East vs West like the Economy, Armaments, Technology, Politics and Intel screens.;;;;;;;;;;;;;x
TUT_PART_3_TITLE;The Cold War Trial;;;;;;;;;;;;;x
TUT_PART_3_SHORT;Take Control;;;;;;;;;;;;;x
TUT_PART_3_DESC;In this tutorial you will take on full control of a country and lead it for a whole year through the Cold War.;;;;;;;;;;;;;x
TUT_PART_BAS_TITLE;The Basic Tutorial;;;;;;;;;;;;;x
TUT_PART_BAS_SHORT;The Basics;;;;;;;;;;;;;x
TUT_PART_BAS_DESC;In this tutorial we will be introducing to you the basics of East vs West.;;;;;;;;;;;;;x
TUT_PART_ADV_TITLE;The Advanced Tutorial;;;;;;;;;;;;;x
TUT_PART_ADV_SHORT;Advanced Cold War;;;;;;;;;;;;;x
TUT_PART_ADV_DESC;In this tutorial the more advanced features of East vs West like the Economy, Armaments, Technology, Politics and Intel screens.;;;;;;;;;;;;;x
TUT_PART_CAM_TITLE;The Cold War Trial;;;;;;;;;;;;;x
TUT_PART_CAM_SHORT;Take Control;;;;;;;;;;;;;x
TUT_PART_CAM_DESC;In this tutorial you will take on full control of a country and lead it for a whole year through the Cold War.;;;;;;;;;;;;;x
### Basic Tutorial Chapter 1;;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_TITLE;Basic Controls;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_DESC;In this chapter you will learn about the very basics of how to play the game, including camera movement, map orientation and game speed control.;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_BUTTON;Basic Controls;;;;;;;;;;;;;x
TUT_OBJECTIVES;Objectives;;;;;;;;;;;;;x
TUT_MENU;Exit;;;;;;;;;;;;;x
TUT_MENU_TOOLTIP;Quit the Tutorial;;;;;;;;;;;;;x
TUT_NEXT;Next;;;;;;;;;;;;;x
TUT_NEXT_TOOLTIP;Open the next part;;;;;;;;;;;;;x
TUT_BAS_CLOSE;Minimize;;;;;;;;;;;;;x
TUT_BAS_CLOSE_TOOLTIP;Minimizes this window;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_PAGE01_TITLE;Introduction (1/10);;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_PAGE01_TEXT;You can minimize this tutorial-menu by left-clicking the §YMinimize§! Button. To bring the tutorial-menu back, click the §YMaximize§! button!;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_PAGE01_OBJECTIVES;Click Next to continue.;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_PAGE02_TITLE;The Camera (2/10);;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_PAGE02_TEXT;Get familiar with the camera movement on the map by moving the mouse marker to the edge of the screen. You can scroll the map in all directions or you can use the arrow keys on your keyboard to navigate. Test this by clicking §YLeft§!, §YUp§!, §YRight§! or §YDown§! and get familiarized with the controls!;;;;;;;;x;;;;;x
TUT_BAS_CHAPTER01_PAGE02_OBJECTIVES;Once you are used to the map movement click Next to continue.;;;;;;;;;;;;;x
TUT_BAS_CHAPTER01_PAGE03_TITLE;Zooming out (3/10);;;;;;;;;;;;;x
