#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
PATROLTRACK_SETUP;When a patrol finds a fleet;Lorsqu'une patrouille trouve une flotte;Wenn eine Patrouille eine Flotte findet;;Cuando una patrulla encuentra una flota.;;;;;;;;;x
PATROLTRACK_HEADER;CHIEF OF STAFF, NAVY:;;;;;;;;;;;;;x
PATROLTRACK_1;Contact!;Contact !;Kontakt!;;°Contacto!;;;;;;;;;x
PATROLTRACK_2;Reporting Office: Commanding Naval HQ;;;;;;;;;;;;;x
PATROLTRACK_3;The $OUR_FLEET$;$OUR_FLEET$;$OUR_FLEET$;;$OUR_FLEET$;;;;;;;;;x
PATROLTRACK_4;has found another fleet in;a trouvÈ une autre flotte dans la province;fand eine andere Flotte in;;ha encontrado a otra flota en;;;;;;;;;x
PATROLTRACK_5;$PROV$;$PROV$;$PROV$;;$PROV$;;;;;;;;;x
PATROLTRACK_6;This fleet belongs to $OTHER$.;Cette flotte appartient ‡ $OTHER$.;Diese Flotte ist aus $OTHER$.;;Esta flota pertenece a $OTHER$.;;;;;;;;;x
PATROLTRACK_LOG;$OUR_FLEET$ found $OTHERS$ fleet in $PROV$.;$OUR_FLEET$ a trouvÈ une flotte $OTHERS$ dans la province $PROV$.;$OUR_FLEET$ fand eine $OTHERS$ Flotte in $PROV$.;;$OUR_FLEET$ encontrÛ la flota de $OTHERS$ en $PROV$.;;;;;;;;;x
PATROLTRACK_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
PATROLTRACK_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
PATROLTRACK_BTN3;Goto;Aller ‡;Gehe zu;Idü do;Ir allÌ;Andare;Ugr·s;P¯ejÌt na;;;;;;x
PATROLTRACK_MAP;Fleet Found!;Flotte repÈrÈe !;Flotte aufgekl‰rt;°Flota encontrado!;;;;;;;;;;x
REINFORCE_SETUP;When a reserve fleet dispatches a unit;Lorsqu'une flotte de rÈserve envoie une unitÈ;Wenn eine Reserveflotte eine Einheit abstellt;;Cuando una flota de reserva envÌa a una unidad.;;;;;;;;;x
REINFORCE_HEADER;CHIEF OF STAFF, NAVY:;;;;;;;;;;;;;x
REINFORCE_1;Replacements Sent!;Renforts envoyÈs !;Verst‰rkung ist unterwegs!;;°Refuerzos enviados!;;;;;;;;;x
REINFORCE_2;Reporting Office: Commanding Naval HQ;;;;;;;;;;;;;x
REINFORCE_3;The $RESERVE$;$RESERVE$;$RESERVE$;;$RESERVE$;;;;;;;;;x
REINFORCE_4;has dispatched a fleet to;a envoyÈ une flotte vers;schickte eine Flotte nach;;ha enviado una flota a;;;;;;;;;x
REINFORCE_5;$TARGET$;$TARGET$;$TARGET$;;$TARGET$;;;;;;;;;x
REINFORCE_6;$RESERVE$ now has $CAP$ capital ships, $SUB$ Submarines and $OTHER$ other shiptypes left.;$RESERVE$ dispose maintenant de $CAP$ navires capitaux de $SUB$ sous-marins et de $OTHER$ navires d'autres types.;$RESERVE$ hat nun $CAP$ Groﬂkampfschiffe, $SUB$ U-Boote und $OTHER$ andere Schiffstypen ¸brig.;;A $RESERVE$ le quedan ahora $CAP$ grandes unidades, $SUB$ submarinos y $OTHER$ de otros tipos de barcos.;;;;;;;;;x
REINFORCE_LOG;$RESERVE$ dispatched a fleet to $TARGET$.;$RESERVE$ a envoyÈ une flotte vers $TARGET$.;$RESERVE$ schickte eine Flotte nach $TARGET$.;;$RESERVE$ enviÛ una flota a $TARGET$.;;;;;;;;;x
REINFORCE_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
REINFORCE_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
REINFORCE_BTN3;Goto;Aller ‡;Gehe zu;Idü do;Ir allÌ;Andare;Ugr·s;P¯ejÌt na;;;;;;x
REINFORCE_MAP;Reserves!;RÈserve !;Reserve!;;°Reserva!;;;;;;;;;x
REINFORCEAIR_SETUP;When a reserve air unit dispatches a unit;Lorsqu'une unitÈ de rÈserve aÈrienne envoie une unitÈ;Wenn eine Reservelufteinheit eine Einheit abstellt;;Cuando una unidad aÈrea de la reserva envÌa una unidad;;;;;;;;;x
REINFORCEAIR_HEADER;CHIEF OF STAFF, AIRFORCE:;;;;;;;;;;;;;x
REINFORCEAIR_1;Replacements Sent!;Renforts envoyÈs !;Verst‰rkung ist unterwegs!;;°Refuerzos enviados!;;;;;;;;;x
REINFORCEAIR_2;Reporting Office: Commanding office field HQ;;;;;;;;;;;;;x
REINFORCEAIR_3;The $RESERVE$;$RESERVE$;$RESERVE$;;$RESERVE$;;;;;;;;;x
REINFORCEAIR_4;has dispatched an air unit to;a envoyÈ une unitÈ aÈrienne vers;schickte eine Lufteinheit nach;;ha enviado una unidad aÈrea a;;;;;;;;;x
REINFORCEAIR_5;$TARGET$;$TARGET$.;$TARGET$;;$TARGET$;;;;;;;;;x
REINFORCEAIR_6;$RESERVE$ now has $NUM$ units left.;$RESERVE$ dispose maintenant de $NUM$ unitÈs.;$RESERVE$ hat nun $NUM$ Einheiten ¸brig.;;A $RESERVE$ le quedan ahora $NUM$ unidades.;;;;;;;;;x
REINFORCEAIR_LOG;$RESERVE$ dispatched a fleet to $TARGET$.;$RESERVE$ a envoyÈ une flotte vers $TARGET$.;$RESERVE$ schickte eine Flotte nach $TARGET$.;;$RESERVE$ enviÛ una flota a $TARGET$.;;;;;;;;;x
REINFORCEAIR_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
REINFORCEAIR_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
REINFORCEAIR_BTN3;Goto;Aller ‡;Gehe zu;Idü do;Ir allÌ;Andare;Ugr·s;P¯ejÌt na;;;;;;x
REINFORCEAIR_MAP;Reserves!;RÈserve !;Reserve!;;°Reserva!;;;;;;;;;x
PROVINCELOST_SETUP;When you lose control of a province;Lorsque vous perdez le contrÙle d'une province;Wenn Sie die Kontrolle ¸ber eine Provinz verlieren.;Kiedy tracisz nieufortyfikowanπ prowincjÍ;Cuando pierdes el control de una provincia.;Quando perdi una provincia non fortificata;Ha elvesztettÈl egy vÈdtelen provinci·t;Kdyû ztratÌte neopevnÏnou provincii;;;;;;x
PROVINCELOST_HEADER;CHIEF OF STAFF, ARMY;;;;;;;;;;;;;x
PROVINCELOST_1;Province Lost!;qu'une province a ÈtÈ perdue !;Provinz verloren!;Prowincja stracona!;provincia perdida!;Provincia persa!;Elvesztett¸nk egy provinci·t;Provincie ztracena!;;;;;;x
PROVINCELOST_2;We have lost the province of;Nous avons perdu la province;Wir verloren die Provinz;Straciliúmy prowincjÍ;Hemos perdido la provincia de;Abbiamo perso la provincia di;Elvesztett¸k;Ztratili jsme provincii;;;;;;x
PROVINCELOST_3;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;$PROV$;;;;;;x
PROVINCELOST_4;to ;;;;;;;;;;;;;x
PROVINCELOST_5;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$ kezÈre ker¸lt.;$COUNTRY$;;;;;;x
PROVINCELOST_6;Reporting Office: Commanding office field HQ;;;;;;;;;;;;;x
PROVINCELOST_LOG;We lost $PROV$ to $COUNTRY$.;Nous avons perdu la province $PROV$ au bÈnÈfice du pays $COUNTRY$.;Wir haben $PROV$ an $COUNTRY$ verloren.;Straciliúmy prowincjÍ $PROV$ na rzecz $COUNTRY$.;Perdimos $PROV$ ante $COUNTRY$.;Abbiamo perso $PROV$ con $COUNTRY$.;$COUNTRY$ kezÈre ker¸lt $PROV$ tartom·nyunk.;Ztratili jsme provincii $PROV$ ve prospÏch zemÏ $COUNTRY$.;;;;;;x
PROVINCELOST_BTN1;Ok;Ok;Ok;OK;Aceptar;Ok;Ok;Ok;;;;;;x
PROVINCELOST_BTN2;Ok;Ok;Ok;OK;Aceptar;Ok;Ok;Ok;;;;;;x
PROVINCELOST_BTN3;Goto;Aller ‡;Gehe zu;Idü do;Ir allÌ;Andare;Menj ide!;P¯ejÌt na;;;;;;x
PROVINCELOST_MAP;Province Lost!;Province perdue !;Provinz verloren!;Prowincja stracona!;°Provincia perdida!;Provincia persa!;Elveszett egy provincia!;Provincie ztracena!;;;;;;x
UNITARRIVED_SETUP;When one of our units arrives at its destination;Lorsque l'une de nos unitÈs arrive ‡ destination;Wenn eine unserer Einheiten ihr Ziel erreicht;Kiedy jedna z naszych jednostek przybywa na miejsce;Cuando una de nuestras unidades llega a su destino.;Quando una delle nostre unit‡ arriver‡ a destinazione;Ha az egyik egysÈg¸nk megÈrkezett a cÈlponthoz.;Kdyû jedna z†naöich jednotek dorazÌ na mÌsto urËenÌ;;;;;;x
UNITARRIVED_HEADER;CHIEF OF STAFF:;;;;;;;;;;;;;x
UNITARRIVED_1;$TYPE$ Arrived!;$TYPE$ est arrivÈ(e) !;$TYPE$ angekommen!;$TYPE$ przybywa!;°$TYPE$ ha llegado!;$TYPE$ arrivato!;$TYPE$ megÈrkezett!;$TYPE$ dorazila!;;;;;;x
UNITARRIVED_2;our $TYPE$ of;notre $TYPE$,;$MONARCHTITLE$, unsere $TYPE$ von;nasze $TYPE$ z;nuestro $TYPE$ de;$TYPE$ di;$TYPE$ egysÈg¸nk,;naöe $TYPE$ jmÈnem;;;;;;x
UNITARRIVED_3;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;$NAME$;;;;;;x
UNITARRIVED_4;has safely arrived in;est arrivÈ sans encombre dans la province;ist sicher in;przybywa (-jπ) bezpiecznie do;ha llegado a salvo a;Ë arrivato in sicurezza a;sikeresen megÈrkezett;bezpeËnÏ dorazila do;;;;;;x
UNITARRIVED_5;$PROV$;$PROV$.;$PROV$ angekommen.;prowincji $PROV$;$PROV$;$PROV$;$PROV provinci·ra.;$PROV$;;;;;;x
UNITARRIVED_6;They are awaiting futher orders;Ils y attendent de nouveaux ordres.;Sie warten auf weitere Befehle.;Oczekujπ na dalsze rozkazy;Est·n esperando Ûrdenes adicionales;Attende ulteriori ordini;Tov·bbi parancsainkra v·rnak.;OËek·v· dalöÌ rozkazy.;;;;;;x
UNITARRIVED_LOG;$NAME$ arrived in $PROV$;$NAME$ est arrivÈ dans la province $PROV$;$NAME$ ist in $PROV$ angekommen;$NAME$ przyby≥ do prowincji $PROV$;$NAME$ llegÛ a $PROV$;;$NAME$ Ë arrivato in $PROV$Ë arrivato in;$NAME$ dorazil do $PROV$;;;;;;x
UNITARRIVED_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
UNITARRIVED_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
UNITARRIVED_BTN3;GOTO;ALLER ¿;Gehe zu;IDè DO;Ir allÌ;ANDARE;Menj ide:;PÿEJÕT NA;;;;;;x
UNITARRIVED_MAP;*;*;*;*;*;*;*;*;;;;;;x
