#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Leader Ranks;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
INACTIVE;(inactive);(inactif);(inaktiv);;(inactivo);;;;;;;;;x
LAND_RANK1;Maj. General;Général de division;Generalmajor;;Capitán General;;;;;;;;;x
LAND_RANK2;Lt. General;Général de corps d'armée;Generalleutnant;;Teniente General;;;;;;;;;x
LAND_RANK3;General;Général d'armée;General;;General;;;;;;;;;x
LAND_RANK4;Field Marshal;Maréchal;Feldmarschall;;Mariscal campo;;;;;;;;;x
SEA_RANK1;Commander;Commandant;Kommandant;;Comandante;;;;;;;;;x
SEA_RANK2;Rear Admiral;Contre-amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
SEA_RANK3;Vice Admiral;Vice amiral;Vizeadmiral;;Vicealmirante;;;;;;;;;x
SEA_RANK4;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
AIR_RANK1;Maj. General;Général de division aérienne;Generalmajor;;Capitán General;;;;;;;;;x
AIR_RANK2;Lt. General;Général de corps d'armée aérien;Generalleutnant;;Teniente General;;;;;;;;;x
AIR_RANK3;Air General;Général d'armée aérienne;Luftwaffengeneral;;General aire;;;;;;;;;x
AIR_RANK4;Air Marshal;Maréchal de l'armée de l'air;Luftmarschall;;Mariscal del aire;;;;;;;;;x
LEADER_SKILL;Skill;Compétence;Fähigkeit;;Hab.;;;;;;;;;x
LEADER_XP;Experience;Expérience;Erfahrung;;Experiencia;;;;;;;;;x
######################################;;;;;;;;;;;;;;x
# Trait Names;;;;;;;;;;;;;;x
######################################;;;;;;;;;;;;;;x
old_guard;Old Guard;Vieille garde;Alte Garde;;Vieja guardia;;;;;;;;;x
trickster;Trickster;Roublard;Schlitzohr;;Exp. ardides;;;;;;;;;x
logistics_wizard;Logistics Wizard;Génie de la logistique;Logistikgenie;;Mago logística;;;;;;;;;x
defensive_doctrine;Defensive Specialist;;;;;;;;;;;;;x
offensive_doctrine;Offensive Specialist;;;;;;;;;;;;;x
winter_specialist;Winter Specialist;Spécialiste de l'hiver;Winterspezialist;;Espec. invierno;;;;;;;;;x
engineer;Engineer;Ingénieur;Pionier;;Ingeniero;;;;;;;;;x
fortress_buster;Fortress Buster;Destructeur de forteresse;Festungsknacker;;Exp. pl. fuertes;;;;;;;;;x
panzer_leader;Armour Specialist;;;;;;;;;;;;;x
commando;Commando;Commando;Kommando;;Comando;;;;;;;;;x
desert_fox;Desert Fox;Renard du désert;Wüstenfuchs;;Zorro del desierto;;;;;;;;;x
jungle_expert;Jungle Expert;Expert de la jungle;Dschungelexperte;;Especialista en jungla;;;;;;;;;x
urban_fighter;Urban Fighter;Combattant urbain;Häuserkämpfer;;Especialista urbano;;;;;;;;;x
forest_fighter;Forest Fighter;Combattant des forêts;Waldkämpfer;;Especialista en bosque;;;;;;;;;x
ranger;Ranger;;;;;;;;;;;;;x
mountain_expert;Mountain Expert;Expert alpin;Bergexperte;;Especialista en montaña;;;;;;;;;x
hills_fighter;Hills Fighter;Combattant des collines;Hügelkämpfer;;Especialista en colinas;;;;;;;;;x
seawolf;Sea Wolf;Loup de mer;Seewolf;;Lobo de mar;;;;;;;;;x
blockade_runner;Blockade Runner;Briseur de blocus;Blockadebrecher;;Rompebloqueos;;;;;;;;;x
superior_tactician;Superior Tactician;Maître tacticien;Überragender Taktiker;;Táctico excepcional;;;;;;;;;x
spotter;Spotter;Éclaireur;Aufklärer;;Avistador;;;;;;;;;x
tank_buster;Tank Buster;Chasseur de chars;Panzerknacker;;Exp. contrac.;;;;;;;;;x
carpet_bomber;Carpet Bomber;Tapis de bombes;Flächenbomber;;Esp. bomb. alfombra;;;;;;;;;x
night_flyer;Night Flyer;Oiseau de nuit;Nachtflieger;;Piloto nocturno;;;;;;;;;x
fleet_destroyer;Fleet Destroyer;Destructeur de flotte;Flottenzerstörer;;Destructor flotas;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Unit Names;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
infantry_brigade;Infantry Brigade;;;;;;;;;;;;;x
artillery_brigade;Artillery Regiment;;;;;;;;;;;;;x
battleship;Battleship;Cuirassé;Schlachtschiff;;Acorazado;;;;;;;;;x
battleship_long;Battleship;Cuirassé;Schlachtschiff;;Acorazado;;;;;;;;;x
anti_tank_brigade;Anti-tank Regiment;;;;;;;;;;;;;x
armor_brigade;Armour Brigade;;;;;;;;;;;;;x
anti_air_brigade;Anti-aircraft Regiment;;;;;;;;;;;;;x
bergsjaeger_brigade;Mountain Brigade;;;;;;;;;;;;;x
carrier;Carrier;Porte-avions;Träger;;Portaav.;;;;;;;;;x
carrier_long;Fleet Carrier;Porte-avions;Träger;;Portaav.;;;;;;;;;x
cas;Close Air Support;Soutien aérien rappr.;CAS;;Apoyo aéreo de proximidad;;;;;;;;;x
cas_short;CAS;BEP;CAS;;AAP;;;;;;;;;x
destroyer;Destroyers;Destroyers;Zerstörer;;Destructores;;;;;;;;;x
destroyer_long;Destroyers;Destroyers;Zerstörer;;Destructores;;;;;;;;;x
escort_carrier;Escort Carrier;Porte-avi. d'escorte;Geleitflugzeugträger;;Portaaviones escolta;;;;;;;;;x
cavalry_brigade;Arm. Cavalry Brigade;;;;;;;;;;;;;x
engineer_brigade;Engineer Regiment;;;;;;;;;;;;;x
battlecruiser;Battlecruiser;Croiseur cuirassé;Schlachtkreuzer;;Crucero de batalla;;;;;;;;;x
hq_brigade;HQ Brigade;;;;;;;;;;;;;x
heavy_cruiser;Heavy Cruiser;Croiseur lourd;Schwerer Kreuzer;;Crucero pesado;;;;;;;;;x
motorized_brigade;Motorized Brigade;;;;;;;;;;;;;x
militia_brigade;Militia Brigade;;;;;;;;;;;;;x
multi_role;Multi-Role;Multirôle;Mehrzweckjäger;;Polivalente;;;;;;;;;x
multi_role_short;MLTR;;;;;;;;;;;;;x
light_cruiser;Light Cruiser;Croiseur léger;Leichter Kreuzer;;Crucero ligero;;;;;;;;;x
fighter;Fighter Aircraft;;;;;;;;;;;;;x
fighter_short;Fighter;;;;;;;;;;;;;x
attack_submarine;Attack Submarine;;;;;;;;;;;;;x
attack_submarine_short;SSK;;;;;;;;;;;;;x
attack_submarine_long;Diesel-electric Attack Submarine;;;;;;;;;;;;;x
nuclear_submarine;Nuclear Submarine;Sous-marin nucléaire;Atom-U-Boot;;Submarino nuclear;;;;;;;;;x
nuclear_submarine_short;SSN;;;;;;;;;;;;;x
nuclear_submarine_long;Nuclear Attack Submarine;;;;;;;;;;;;;x
ballistic_missile_submarine;B. Missile Submarine;;;;;;;;;;;;;x
ballistic_missile_submarine_long;Ballistic Missile Submarine;;;;;;;;;;;;;x
ballistic_missile_submarine_short;SSBN;;;;;;;;;;;;;x
police_brigade;Military Police Regiment;;;;;;;;;;;;;x
rocket_artillery_brigade;Rocket Artillery Regiment;;;;;;;;;;;;;x
sp_rct_artillery_brigade;S-P Rocket Artillery Regiment;;;;;;;;;;;;;x
submarine;Submarine;Sous-marin;U-Boot;;Submarino;;;;;;;;;x
super_heavy_battleship;SH Battleship;Cuirassé sup. lourd;Superschweres Schlachtschiff;;Acorazado pesado;;;;;;;;;x
tank_destroyer_brigade;Tank Destroyer Regiment;;;;;;;;;;;;;x
transport_ship;Transport;Navire de transport;Transporter;;Transporte;;;;;;;;;x
bomber_strategic;Strategic Bomber;Bombardier stratégique;Strategischer Bomber;;Bombardero estratégico;;;;;;;;;x
bomber_strategic_short;STR;Bomb. STR.;STR;;EST;;;;;;;;;x
sp_artillery_brigade;S-P Artillery Regiment;;;;;;;;;;;;;x
transport_plane;Transport Plane;Avion de transport;Transportflugzeug;;Avión de transporte;;;;;;;;;x
transport_plane_short;TRP;Avion de trans.;TRP;;TRP;;;;;;;;;x
marine_brigade;Marine Brigade;;;;;;;;;;;;;x
marine_brigade_short;Mar;Inf. mar.;Mar;;Mar;;;;;;;;;x
infantry_brigade_short;Inf;Inf.;Inf;;Inf;;;;;;;;;x
artillery_brigade_short;Art;Art;Art;;Art;;;;;;;;;x
battleship_short;BB;Cuirassé;BB;;Aco;;;;;;;;;x
anti_tank_brigade_short;AT;AC;PA;;ACa;;;;;;;;;x
armor_brigade_short;Arm;Blind.;Pz;;Bli;;;;;;;;;x
anti_air_brigade_short;AA;AA;Fla;;AA;;;;;;;;;x
bergsjaeger_brigade_short;Mtn;Inf. alp.;Geb;;Mon;;;;;;;;;x
carrier_short;CV;Parachut.;Trgr;;PAv;;;;;;;;;x
destroyer_short;DD;Destr.;DD;;Des;;;;;;;;;x
escort_carrier_short;CVL;CVL;CVE;;Portaav L;;;;;;;;;x
cavalry_brigade_short;Cav;Cav;Kav;;Cab;;;;;;;;;x
engineer_brigade_short;Eng;Ingén.;Pio;;Ing;;;;;;;;;x
battlecruiser_short;BC;Croiseur cuir.;BC;;Cru Bat;;;;;;;;;x
hq_brigade_short;HQ;QG;HQ;;EM;;;;;;;;;x
cruiser_short;CA;Croiseur;CA;;Cru P;;;;;;;;;x
cruiser_long;Cruiser;Croiseur;;;;;;;;;;;;x
cruiser;Cruiser;Croiseur;;;;;;;;;;;;x
motorized_brigade_short;Mot;Mot.;Mot;;Mot;;;;;;;;;x
militia_brigade_short;Mil;Mil.;Mil;;Mil;;;;;;;;;x
police_brigade_short;Pol;Pol.;Pol;;Pol;;;;;;;;;x
rocket_artillery_brigade_short;R Art;Art. LR;R. Art.;;Art LCo;;;;;;;;;x
sp_rct_artillery_brigade_short;SP R Art;Art. LR PB;SA rArt;;Art LCo APr;;;;;;;;;x
submarine_short;SS;Sous-marin;SS;;Sub;;;;;;;;;x
submarine_long;Diesel-Electric Submarine;;;;;;;;;;;;;x
super_heavy_battleship_short;SH BB;Cuirassé SL;SH BB;;Ac. SP;;;;;;;;;x
tank_destroyer_brigade_short;TD;AC PB;JPz.;;CCa APr;;;;;;;;;x
transport_ship_short;TP;Cargo;TP;;B Tra;;;;;;;;;x
sp_artillery_brigade_short;SP Art;Art. PB;SA. Art.;;Art APr;;;;;;;;;x
partisan_brigade;Partisan;Partisan;Partisanen;;Partisano;;;;;;;;;x
partisan_brigade_short;Pts;Brigade de part.;Pts;;Par;;;;;;;;;x
guided_submarine_short;SSG;;;;;;;;;;;;;x
nuclear_guided_submarine_short;SSGN;;;;;;;;;;;;;x
guided_submarine;G. Missile Sub;;;;;;;;;;;;;x
