PW_SEND;Send;Envoyer;Senden;;Enviar;;;;;;;;;;x
CD_DEBT;Allows debts from $LIST$;Permet des dettes de $LIST$;Verschuldung von $LIST$ erlauben;;Permite deudas de $LIST$;;;;;;;;;;x
ESTIMATED_POWER;Estimated Enemy Power;Puissance ennemie estimée;Geschätzte Feindkräfte;;Potencia enemiga estimada;;;;;;;;;;x
#PROV_POINTS;Points;Points;Siegpunkte ;;Puntos;;;;;;;;;;x
ECONOMY_POINTS;Economy points;;;;;;;;;;x
MAPMODE_14;Simplified Terrain Mapmode;Mode de terrain simplifié;Detaillierte Terrain Anzeige;;Modo de mapa de terreno simplificado;;;;;;;;;;x
TERRAIN_MOVEMENT_COST;Movement Cost: ;Coût de mouvement :;Bewegungskosten: ;;Coste de movimiento: ;;;;;;;;;;x
TERRAIN_ATTACK;Attack: ;Attaque :;Angriffsmodifikator: ;;Ataque: ;;;;;;;;;;x
TERRAIN_DEFENCE;Defence: ;Défense :;Verteidigungsmodifikator: ;;Defensa: ;;;;;;;;;;x
TERRAIN_ATTRITION;Attrition: ;Attrition :;Verlustrate: ;;Desgaste: ;;;;;;;;;;x
IC;IC;Capacité industrielle; IK;;CI;;;;;;;;;;x
CANCEL_CURRENT_ORDER;Cancel current order.;Supprimer l'ordre;Mission abbrechen;;Cancelar orden actual.;;;;;;;;;;x
AUTOMATE_TRADE;Automate Trade;Commerce automatique;automatischer Handel;;Automatizar comercio;;;;;;;;;;x
AUTOMATE_MANUAL;Manual Control;Contrôle manuel;manuelle Kontrolle;;Control manual;;;;;;;;;;x
AUTOMATE_REINFORCEMENT;Prioritize Reinforcement;Priorité à la consolidation;Verstärkung priorisieren;;Priorizar refuerzos;;;;;;;;;;x
AUTOMATE_UPGRADES;Prioritize Upgrades;Priorité aux améliorations;Modernisierung priorisieren;;Priorizar modernización;;;;;;;;;;x
AUTOMATE_PRODUCTION;Prioritize Production;Priorité à la production;Produktion priorisieren;;Priorizar producción;;;;;;;;;;x
SM_COUNTER_SLIDER;Counter Dist.;Distance des Pions.;Entf. Counter;;Dist. fichas;;;;;;;;;;x
NEED;Need;Nécessite;Benötigt;;Se necesita;;;;;;;;;;x
independent_croatia_v2_title;Independent Croatia;Croatie indépendante;Nach dem antifaschistischen Staatsstreich in Jugoslawien griffen Deutschland und Italien das Land an und besiegten es. Die Wehrmacht stellte sich auf eine langfristige Besetzung ein, doch da immer mehr Truppen an die Ostfront abgezogen werden mussten, benötigte man dafür Hilfe. Die Deutschen konnten den Serben, die verschiedene Partisanengruppen wie z.B. die Tschetniks organisiert hatten, nicht länger trauen. Die Kroaten hingegen zeigten sich im Gegenzug für ihre Unabhängigkeit hilfsbereit.;;Croacia independiente;;;;;;;;;;x
independent_croatia_v2_desc;After the anti-fascist coup in Yugoslavia, Germany and Italy attacked and defeated that country. The Wehrmacht prepared for a long occupation of Yugoslavia, but as ever more forces were needed on the Eastern Front help was needed in maintaining the occupation of Yugoslavia. The Germans could no longer trust the Serbs, who organized partisan groups such as the Reds and Chetniks. However the Croats were inclined to help if they received independence.;Après le coup d'état antifasciste en Yougoslavie, l'Allemagne et l'Italie envahirent le pays. La Wehrmacht se préparait à une longue occupation, mais les besoins en troupes du Front de l'Est l'en empêchèrent. Les Allemands ne pouvaient plus faire confiance aux Serbes dont les partisans leur donnaient du fil à retordre avec leurs groupes tels que les Rouges ou encore les Tchetniks. Cependant, les Croates étaient prêts à apporter leur aide si on leur accordait l'indépendance.;Nach dem antifaschistischen Staatsstreich in Jugoslawien griffen Deutschland und Italien das Land an und besiegten es. Die Wehrmacht stellte sich auf eine langfristige Besetzung ein, doch da immer mehr Truppen an die Ostfront abgezogen werden mussten, benötigte man dafür Hilfe. Die Deutschen konnten den Serben, die verschiedene Partisanengruppen wie z.B. die Tschetniks organisiert hatten, nicht länger trauen. Die Kroaten hingegen zeigten sich im Gegenzug für ihre Unabhängigkeit hilfsbereit.;;Tras el golpe antifascista en Yugoslavia, Alemania e Italia atacaron y derrotaron a ese país. La Wehrmacht se preparó para una ocupación larga de Yugoslavia, pero necesitó ayuda al ser más necesarias las fuerzas en el frente oriental. Los alemanes ya no podían confiar en los serbios, que organizaron grupos partisanos como los Rojos y los Chetniks. Sin embargo, los croatas se mostraron inclinados a ayudar si conseguían la independencia.;;;;;;;;;;x
LEDGER_TRAIT3;Trait 3;Trait 3;Trait 3;;Rasgo 3;;;;;;;;;;x
LEDGER_TRAIT4;Trait 4;Trait 4;Trait 4;;Rasgo 4;;;;;;;;;;x
PARADROP_MISSION_DESC;Perform an airborne assault on a province, dropping paratroopers on the target.;Effectue un assaut aéroporté sur une province en larguant des parachutistes sur la cible.;Führt eine Luftlandung mit Fallschirmjägern in einer Provinz durch.;;Realiza un asalto aerotransportado en una provincia, lanzando paracaidistas sobre el objetivo.;;;;;;;;;;x
bessarabia;Bessarabia;Bessarabia;Bessarabia;;Bessarabia;;;;;;;;;;x
karelia;Karelia;Karelia;Karelia;;Karelia;;;;;;;;;;x
