MODIFIER_LOCAL_RESOURCES;Local Resources;;Lokale Ressourcen;Recursos locales;;;;;;;;;;x
POL_MOBILIZE_DRO_V3;To fully mobilize our reserves we need §Y$MP$§W manpower.;;Um unsere Reserven komplett zu mobilisieren benötigen wir §Y$MP$§W Männer.;Para movilizar completamente nuestras reservas necesitamos §Y$MP$§W de recursos humanos.;;;;;;;;;;x
PORT_SHIPS;The port here can ship in §Y$SIZE$§W units of supplies and fuel every day.;;Der Hafen hier kann täglich §Y$SIZE$§W Einheiten Nachschub und Treibstoff aufnehmen.;El puerto local puede enviar §Y$SIZE$§W unidades de suministros y combustible cada día.;;;;;;;;;;x
THE_DATE_IS_BEFORE;It is before §Y$DATE$§W\n;Ceci est antérieur §Y$DATE$§W\n;Es ist vor §Y$DATE$§W\n;Es antes §Y$DATE$§W\n;Es antes §Y$DATE$§W\n;;;;;;;;;x
THE_DATE_IS_AFTER;It is at least §Y$DATE$§W\n ;C'est au moins §Y$DATE$§W\n;Es ist zumindest §Y$DATE$§W\n;Es de al menos §Y$DATE$§W\n;Es de al menos §Y$DATE$§W\n;;;;;;;;;x
mengkukuo_region;Mengkukuo;;Mengkukuo;Mengkukuo;;;;;;;;;;x
independent_mengkukuo_title;The formation of Mengkukuo;;Die Errichtung Mengkukuos;La formación de Mengkukuo;;;;;;;;;;x
independent_mengkukuo_desc;The Kwangtung army command has maintained contacts with various important persons in Inner Mongolia. Using these willing collaborators, we can set up a regime there that will keep the area quiet while we conquer other lands.;;Das Oberkommando der Kwangtung-Armee hat mit mehreren wichtigen Persönlichkeiten in der inneren Mongolei gute Beziehungen gepflegt. Mit der Hilfe dieser willigen Kollaborateure können wir ein Regime einrichten, dass diese Gebiete ruhig halten wird, während wir andere Gebiete erobern.;El mando del ejército de Kwangtung se ha mantenido en contacto con importantes personajes de la Mongolia Interior. A través de estos voluntariosos colaboracionistas podemos organizar un régimen que mantendrá la zona tranquila mientras realizamos conquistas en otra parte.;;;;;;;;;;x
economic_boost;Economic Boost;;Wirtschaftlicher Aufschwung;Auge económico;;;;;;;;;;x
desc_economic_boost;Our economy has been boosted;;Unsere Wirtschaft wurde verbessert;Nuestra economía se ha visto impulsada.;;;;;;;;;;x
volunteer_surge;Volunteer Surge;;Freiwilligenwelle;Auge de voluntarios;;;;;;;;;;x
desc_volunteer_surge;Our volunteers are surging;;Freiwillige strömen unserer Armee zu;Nuestros voluntarios van en aumento;;;;;;;;;;x
STRMONTHLY_CHANGE;Monthly Change:;;Monatsänderung:;Cambio mensual:;;;;;;;;;;x
STRANNUAL_CHANGE;Potential Annual Change:;;;;;;;;;;;;;x
NATIONAL_UNITY_CURRENT_CHANGE;Daily change:;;;;;;;;;;;;;x
STW_CONV;Convoy/ASW Warfare: ;;Konvoi/ASW-Kriegsführung;Guerra Convoy/ASW: ;;;;;;;;;;x
STW_ALLIES;Allied Help: ;;Alliierte Hilfe:;Ayuda aliada: ;;;;;;;;;;x
STW_BOMB;Strategic Bombing: ;;Strategische Bombardierung:;Bombardeo estratégico: ;;;;;;;;;;x
non_core;Non Core;;Nicht-Stamm;No núcleo;;;;;;;;;;x
MILACCOFFDESC;$COUNTRY$ is offering us Transit Rights. Accepting will allow us to move ships and armies into their territory.;;;$COUNTRY$ nos ofrece derechos de tránsito. Si los aceptamos, podremos mover barcos y ejércitos por su territorio.;;;;;;;;;;x
