#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
europe;Europe;;;;;;;;;;;;;x
asia;Asia;;;;;;;;;;;;;x
africa;Africa;;;;;;;;;;;;;x
north_america;North America;;;;;;;;;;;;;x
south_america;South America;;;;;;;;;;;;;x
oceania;Oceania;;;;;;;;;;;;;x
PROV1;Wallis and Futuna;;;;;;;;;;;;;x
PROV2;Midway;;;;;;;;;;;;;x
PROV3;Gambell;;;;;;;;;;;;;x
PROV4;Savoonga;;;;;;;;;;;;;x
PROV5;Adak;;;;;;;;;;;;;x
PROV6;Emmonak;;;;;;;;;;;;;x
PROV7;Chevak;;;;;;;;;;;;;x
PROV8;Mekoryuk;;;;;;;;;;;;;x
PROV9;Stebbins;;;;;;;;;;;;;x
PROV10;St Mary's;;;;;;;;;;;;;x
PROV11;Tununak;;;;;;;;;;;;;x
PROV12;Koyuk;;;;;;;;;;;;;x
PROV13;Unalakleet;;;;;;;;;;;;;x
PROV14;Marshall;;;;;;;;;;;;;x
PROV15;Bethel;;;;;;;;;;;;;x
PROV16;Kipnuk;;;;;;;;;;;;;x
PROV17;Futiga;;;;;;;;;;;;;x
PROV18;Nulato;;;;;;;;;;;;;x
PROV19;Kaltag;;;;;;;;;;;;;x
PROV20;Kalskag;;;;;;;;;;;;;x
PROV21;Quinhagak;;;;;;;;;;;;;x
PROV22;Platinum;;;;;;;;;;;;;x
PROV23;Galena;;;;;;;;;;;;;x
PROV24;Poorman;;;;;;;;;;;;;x
PROV25;Aniak;;;;;;;;;;;;;x
PROV26;Kanuktik Lake;;;;;;;;;;;;;x
PROV27;Togiak;;;;;;;;;;;;;x
PROV28;Unalaska;;;;;;;;;;;;;x
PROV29;Tanana;;;;;;;;;;;;;x
PROV30;Ruby;;;;;;;;;;;;;x
PROV31;Crooked Creek;;;;;;;;;;;;;x
