[texturehandler.cpp:192]: Couldn't find texture: 
[texturehandler.cpp:192]: Couldn't find texture: gdummy_texture.tga
[texturehandler.cpp:192]: Couldn't find texture: gsupplycenter.tga
[texturehandler.cpp:192]: Couldn't find texture: gground.tga
[texturehandler.cpp:192]: Couldn't find texture: gred.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//spycards//bg_satellite.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//economy//factory_build//eco_build_progress_overlay.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//select_model_bg2.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//tech_current_orange.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//negotiation_slidearrow_right.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//mapmode_button1.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//unit_window//multi_unit//unit_reorg_button2.tga
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//tech_current.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//research//tech_detail_close_button.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//negotiation_slidearrow_left.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//pictures//events//prov_event_default.tga
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//diplomacy//members_btn.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//intel_faction_button.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//bg_air_navy_build.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//topbar//Icons//icon_leadership.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx//interface//economy//bg_economy_empty.dds
[texturehandler.cpp:192]: Couldn't find texture: map/terrain/texturesheetbump.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: gfx/editor/null_slot_small.dds
[texturehandler.cpp:192]: Couldn't find texture: GFX_terrainimg_plains
[texturehandler.cpp:192]: Couldn't find texture: GFX_terrainimg_plains
