[modifier.cpp:259]: unknown modifier 'global_ic' in file common/static_modifiers.txt
[modifier.cpp:259]: unknown modifier 'fuel_consumption' in file common/static_modifiers.txt
[modifier.cpp:259]: unknown modifier 'fuel_consumption' in file common/static_modifiers.txt
[modifier.cpp:259]: unknown modifier 'fuel_consumption' in file common/static_modifiers.txt
[modifier.cpp:259]: unknown modifier 'bomber_strike' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier '=' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'bomber_strike' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier '=' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'bomber_strike' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier '=' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'bomber_strike' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier '=' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'bomber_strike' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier '=' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'bomber_strike' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'woods' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier 'attack' in file mod/Complete Edition/common/event_modifiers.txt
[modifier.cpp:259]: unknown modifier '=' in file mod/Complete Edition/common/event_modifiers.txt
