[internationalizedtext.cpp:1190]: Text-log for language: ENGLISH

[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1206]: Duplicate text-key "USA_mr_as_complex_3".
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1206]: Duplicate text-key "maoist_idolg_USA".
[internationalizedtext.cpp:1206]: Duplicate text-key "communist_idolg_USA".
[internationalizedtext.cpp:1206]: Duplicate text-key "OK".
[internationalizedtext.cpp:1206]: Duplicate text-key "MODIFIER_ESPIONAGE_BONUS".
[internationalizedtext.cpp:1206]: Duplicate text-key "DCG_RESEARCH".
[internationalizedtext.cpp:1206]: Duplicate text-key "CONFIRM_DISBAND_TITLE".
[internationalizedtext.cpp:1206]: Duplicate text-key "CONFIRM_DISBAND_DESC".
[internationalizedtext.cpp:1230]: Empty key "UW_UNIT_LEVEL_DRO" found.
[internationalizedtext.cpp:1206]: Duplicate text-key "MINISTER_MESSAGE_ENTRY".
[internationalizedtext.cpp:1206]: Duplicate text-key "INTEL_AWACS".
[internationalizedtext.cpp:1230]: Empty key "WEDOSPYACTION_SETUP" found.
[internationalizedtext.cpp:1230]: Empty key "THEYDOSPYACTION_SETUP" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_SETUP" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_HEADER" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_1" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_2" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_3" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_4" found.
[internationalizedtext.cpp:1230]: Empty key "SPOTTEDBYRECON_5" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
[internationalizedtext.cpp:1230]: Empty key "" found.
