province;red;green;blue;x;x
1;118;138;168;PROV1;x
2;52;36;129;PROV2;x
3;62;37;51;PROV3;x
4;124;54;44;PROV4;x
5;150;141;110;PROV5;x
6;237;192;206;PROV6;x
7;129;61;58;PROV7;x
8;53;178;177;PROV8;x
9;193;247;190;PROV9;x
10;155;117;158;PROV10;x
11;205;55;125;PROV11;x
12;253;118;34;PROV12;x
13;58;34;79;PROV13;x
14;176;232;52;PROV14;x
15;162;254;162;PROV15;x
16;253;170;153;PROV16;x
17;135;132;176;PROV17;x
18;60;97;57;PROV18;x
19;80;245;230;PROV19;x
20;60;62;167;PROV20;x
21;111;89;244;PROV21;x
22;73;54;90;PROV22;x
23;92;179;125;PROV23;x
24;54;61;248;PROV24;x
25;57;157;201;PROV25;x
26;34;146;149;PROV26;x
27;194;190;194;PROV27;x
28;232;232;43;PROV28;x
29;103;146;200;PROV29;x
30;140;80;194;PROV30;x
31;172;209;145;PROV31;x
32;93;171;84;PROV32;x
33;212;73;208;PROV33;x
34;59;55;170;PROV34;x
35;47;172;153;PROV35;x
36;80;236;86;PROV36;x
37;69;194;127;PROV37;x
38;215;243;62;PROV38;x
39;179;168;235;PROV39;x
40;94;236;147;PROV40;x
41;240;41;216;PROV41;x
42;239;198;209;PROV42;x
43;179;74;121;PROV43;x
44;60;123;163;PROV44;x
45;71;122;228;PROV45;x
46;89;53;231;PROV46;x
47;85;235;167;PROV47;x
48;170;228;114;PROV48;x
49;194;207;190;PROV49;x
50;36;94;224;PROV50;x
51;125;85;250;PROV51;x
52;173;65;198;PROV52;x
53;196;149;75;PROV53;x
54;101;42;47;PROV54;x
55;229;251;172;PROV55;x
56;253;137;238;PROV56;x
57;71;38;101;PROV57;x
58;36;120;170;PROV58;x
59;228;64;57;PROV59;x
60;33;218;223;PROV60;x
61;236;68;217;PROV61;x
62;140;233;36;PROV62;x
63;77;238;222;PROV63;x
64;149;196;232;PROV64;x
65;197;195;99;PROV65;x
66;206;198;254;PROV66;x
67;115;32;156;PROV67;x
68;61;131;56;PROV68;x
69;127;190;58;PROV69;x
70;159;128;233;PROV70;x
71;245;225;63;PROV71;x
72;204;47;98;PROV72;x
73;51;206;116;PROV73;x
74;132;76;200;PROV74;x
75;250;176;97;PROV75;x
76;96;204;191;PROV76;x
77;190;43;73;PROV77;x
78;232;172;140;PROV78;x
79;244;159;225;PROV79;x
80;198;248;177;PROV80;x
81;30;185;247;PROV81;x
82;167;237;211;PROV82;x
83;101;137;98;PROV83;x
84;162;115;193;PROV84;x
85;72;154;158;PROV85;x
86;126;180;100;PROV86;x
87;236;231;40;PROV87;x
88;202;129;113;PROV88;x
89;63;132;196;PROV89;x
90;173;127;140;PROV90;x
91;82;150;60;PROV91;x
92;193;117;107;PROV92;x
93;56;131;243;PROV93;x
94;240;44;101;PROV94;x
95;146;96;252;PROV95;x
96;184;180;139;PROV96;x
97;183;125;55;PROV97;x
98;74;57;158;PROV98;x
99;105;208;83;PROV99;x
100;51;74;51;PROV100;x
101;108;207;244;PROV101;x
102;137;73;144;PROV102;x
103;187;176;252;PROV103;x
104;124;77;118;PROV104;x
105;125;56;60;PROV105;x
106;86;38;123;PROV106;x
107;157;118;164;PROV107;x
108;54;97;209;PROV108;x
109;43;218;224;PROV109;x
110;80;200;200;PROV110;x
111;250;250;204;PROV111;x
112;57;204;234;PROV112;x
113;70;234;181;PROV113;x
114;52;100;252;PROV114;x
115;62;91;173;PROV115;x
116;52;51;199;PROV116;x
117;151;235;210;PROV117;x
118;234;162;109;PROV118;x
119;73;111;113;PROV119;x
120;148;74;243;PROV120;x
121;79;59;88;PROV121;x
122;143;116;138;PROV122;x
123;237;32;251;PROV123;x
124;212;235;157;PROV124;x
125;80;58;46;PROV125;x
126;181;45;117;PROV126;x
127;125;238;122;PROV127;x
128;150;176;190;PROV128;x
129;193;135;218;PROV129;x
130;148;225;126;PROV130;x
131;102;252;160;PROV131;x
132;112;116;131;PROV132;x
133;211;97;45;PROV133;x
134;227;228;251;PROV134;x
135;67;164;205;PROV135;x
136;71;209;75;PROV136;x
137;202;74;152;PROV137;x
138;63;93;39;PROV138;x
139;60;66;86;PROV139;x
140;53;87;132;PROV140;x
141;202;109;47;PROV141;x
142;212;43;152;PROV142;x
143;222;111;91;PROV143;x
144;176;226;48;PROV144;x
145;202;176;45;PROV145;x
146;209;154;208;PROV146;x
147;37;79;53;PROV147;x
148;121;181;60;PROV148;x
149;214;204;170;PROV149;x
150;187;114;196;PROV150;x
151;178;228;84;PROV151;x
152;115;57;108;PROV152;x
153;245;96;237;PROV153;x
154;203;139;94;PROV154;x
155;67;105;166;PROV155;x
156;117;248;210;PROV156;x
157;246;103;246;PROV157;x
158;107;54;202;PROV158;x
159;215;123;126;PROV159;x
160;130;47;238;PROV160;x
161;71;172;71;PROV161;x
162;220;177;128;PROV162;x
163;34;61;126;PROV163;x
164;129;123;164;PROV164;x
165;91;254;247;PROV165;x
166;245;197;150;PROV166;x
167;207;214;81;PROV167;x
168;218;156;154;PROV168;x
169;113;218;187;PROV169;x
170;235;87;238;PROV170;x
171;225;112;68;PROV171;x
172;129;174;86;PROV172;x
173;59;68;47;PROV173;x
174;245;80;230;PROV174;x
175;176;43;217;PROV175;x
176;76;70;159;PROV176;x
177;227;46;160;PROV177;x
178;231;251;247;PROV178;x
179;119;100;208;PROV179;x
180;79;200;200;PROV180;x
181;106;118;236;PROV181;x
182;97;83;180;PROV182;x
183;169;245;36;PROV183;x
184;37;79;99;PROV184;x
185;105;126;202;PROV185;x
186;167;176;144;PROV186;x
187;244;32;134;PROV187;x
188;194;175;70;PROV188;x
189;132;224;206;PROV189;x
190;177;159;218;PROV190;x
191;235;91;36;PROV191;x
192;240;111;51;PROV192;x
193;139;208;77;PROV193;x
194;94;67;204;PROV194;x
195;175;41;226;PROV195;x
196;58;228;157;PROV196;x
197;250;244;47;PROV197;x
198;181;38;195;PROV198;x
199;127;252;183;PROV199;x
200;82;248;77;PROV200;x
201;102;196;32;PROV201;x
202;34;48;163;PROV202;x
203;99;152;130;PROV203;x
204;127;44;194;PROV204;x
205;147;110;234;PROV205;x
206;175;99;78;PROV206;x
207;187;249;32;PROV207;x
208;60;137;127;PROV208;x
209;179;110;226;PROV209;x
210;35;213;222;PROV210;x
211;202;77;79;PROV211;x
212;250;214;105;PROV212;x
213;56;153;230;PROV213;x
214;209;102;54;PROV214;x
215;160;69;44;PROV215;x
216;32;202;188;PROV216;x
217;223;160;246;PROV217;x
218;214;138;139;PROV218;x
219;219;152;150;PROV219;x
220;159;148;200;PROV220;x
221;103;109;233;PROV221;x
222;198;46;96;PROV222;x
223;125;248;230;PROV223;x
224;54;119;175;PROV224;x
225;90;53;205;PROV225;x
226;71;139;141;PROV226;x
227;98;83;187;PROV227;x
228;209;205;67;PROV228;x
229;47;193;63;PROV229;x
230;181;135;248;PROV230;x
231;76;217;52;PROV231;x
232;164;194;63;PROV232;x
233;230;98;124;PROV233;x
234;250;61;225;PROV234;x
235;122;130;217;PROV235;x
236;163;108;90;PROV236;x
237;138;71;254;PROV237;x
238;252;199;142;PROV238;x
239;237;233;156;PROV239;x
240;153;142;83;PROV240;x
241;72;74;40;PROV241;x
242;34;71;125;PROV242;x
243;194;185;104;PROV243;x
244;52;209;117;PROV244;x
245;89;70;146;PROV245;x
246;132;158;124;PROV246;x
247;223;217;173;PROV247;x
248;32;182;216;PROV248;x
249;161;107;211;PROV249;x
250;251;203;246;PROV250;x
251;252;120;63;PROV251;x
252;80;134;254;PROV252;x
253;159;88;44;PROV253;x
254;1;50;250;PROV254;x
255;69;93;102;PROV255;x
256;192;164;155;PROV256;x
257;134;205;176;PROV257;x
258;76;70;147;PROV258;x
259;78;128;219;PROV259;x
260;168;153;201;PROV260;x
261;101;56;35;PROV261;x
262;125;91;204;PROV262;x
263;112;82;53;PROV263;x
264;125;93;159;PROV264;x
265;1;100;50;PROV265;x
266;192;121;43;PROV266;x
267;138;132;103;PROV267;x
268;132;146;253;PROV268;x
269;100;206;80;PROV269;x
270;64;245;189;PROV270;x
271;48;199;31;PROV271;x
272;152;110;112;PROV272;x
273;131;39;141;PROV273;x
274;46;172;106;PROV274;x
275;179;140;36;PROV275;x
276;205;60;51;PROV276;x
277;128;224;164;PROV277;x
278;37;55;140;PROV278;x
279;1;100;150;PROV279;x
280;47;90;103;PROV280;x
281;42;241;52;PROV281;x
282;246;30;137;PROV282;x
283;141;83;64;PROV283;x
284;228;247;145;PROV284;x
285;254;113;215;PROV285;x
286;168;224;252;PROV286;x
287;52;40;173;PROV287;x
288;145;252;169;PROV288;x
289;61;114;203;PROV289;x
290;108;143;221;PROV290;x
291;114;193;73;PROV291;x
292;253;136;223;PROV292;x
293;57;151;226;PROV293;x
294;106;180;203;PROV294;x
295;190;47;232;PROV295;x
296;143;86;121;PROV296;x
297;30;42;163;PROV297;x
298;33;151;243;PROV298;x
299;137;214;171;PROV299;x
300;188;102;36;PROV300;x
301;208;149;133;PROV301;x
302;178;170;174;PROV302;x
303;171;169;118;PROV303;x
304;202;69;102;PROV304;x
305;220;126;97;PROV305;x
306;226;180;245;PROV306;x
307;244;108;130;PROV307;x
308;88;111;72;PROV308;x
309;84;145;176;PROV309;x
310;82;124;78;PROV310;x
311;219;152;60;PROV311;x
312;99;41;131;PROV312;x
313;87;226;172;PROV313;x
314;32;227;47;PROV314;x
315;48;86;111;PROV315;x
316;33;119;89;PROV316;x
317;132;116;53;PROV317;x
318;196;231;156;PROV318;x
319;96;237;172;PROV319;x
320;71;151;114;PROV320;x
321;220;169;209;PROV321;x
322;102;241;136;PROV322;x
323;112;69;55;PROV323;x
324;215;168;229;PROV324;x
325;87;232;162;PROV325;x
326;155;203;188;PROV326;x
327;244;96;176;PROV327;x
328;72;209;139;PROV328;x
329;148;91;250;PROV329;x
330;146;207;103;PROV330;x
331;34;139;77;PROV331;x
332;223;199;232;PROV332;x
333;190;175;80;PROV333;x
334;64;171;203;PROV334;x
335;79;138;253;PROV335;x
336;248;195;64;PROV336;x
337;238;81;85;PROV337;x
338;192;178;214;PROV338;x
339;99;209;180;PROV339;x
340;140;221;117;PROV340;x
341;206;51;67;PROV341;x
342;208;83;123;PROV342;x
343;211;84;175;PROV343;x
344;126;37;67;PROV344;x
345;252;152;42;PROV345;x
346;69;211;78;PROV346;x
347;220;96;215;PROV347;x
348;118;153;244;PROV348;x
349;81;79;209;PROV349;x
350;217;113;150;PROV350;x
351;165;125;85;PROV351;x
352;160;163;38;PROV352;x
353;60;56;252;PROV353;x
354;164;96;170;PROV354;x
355;176;163;139;PROV355;x
356;228;143;98;PROV356;x
357;104;167;94;PROV357;x
358;243;243;242;PROV358;x
359;44;159;34;PROV359;x
360;152;122;243;PROV360;x
361;33;38;184;PROV361;x
362;1;100;100;PROV362;x
363;75;196;245;PROV363;x
364;134;108;191;PROV364;x
365;140;143;200;PROV365;x
366;86;176;137;PROV366;x
367;97;252;167;PROV367;x
368;230;46;152;PROV368;x
369;248;198;187;PROV369;x
370;246;34;138;PROV370;x
371;166;105;51;PROV371;x
372;110;100;158;PROV372;x
373;72;164;81;PROV373;x
374;97;110;50;PROV374;x
375;233;115;133;PROV375;x
376;106;58;247;PROV376;x
377;62;88;142;PROV377;x
378;97;84;192;PROV378;x
379;136;223;32;PROV379;x
380;170;60;72;PROV380;x
381;72;175;239;PROV381;x
382;205;110;165;PROV382;x
383;112;187;137;PROV383;x
384;100;180;117;PROV384;x
385;166;42;173;PROV385;x
386;35;76;51;PROV386;x
387;181;33;72;PROV387;x
388;166;133;133;PROV388;x
389;75;175;63;PROV389;x
390;147;191;195;PROV390;x
391;78;181;80;PROV391;x
392;233;191;195;PROV392;x
393;148;169;229;PROV393;x
394;213;249;125;PROV394;x
395;140;216;163;PROV395;x
396;54;185;71;PROV396;x
397;49;130;176;PROV397;x
398;236;243;56;PROV398;x
399;136;160;190;PROV399;x
400;132;219;250;PROV400;x
401;196;52;253;PROV401;x
402;67;188;105;PROV402;x
403;232;142;161;PROV403;x
404;77;223;39;PROV404;x
405;201;55;172;PROV405;x
406;225;50;244;PROV406;x
407;246;128;91;PROV407;x
408;48;97;192;PROV408;x
409;54;234;60;PROV409;x
410;154;42;39;PROV410;x
411;69;111;59;PROV411;x
412;164;242;252;PROV412;x
413;220;71;243;PROV413;x
414;45;188;50;PROV414;x
415;46;83;135;PROV415;x
416;153;165;139;PROV416;x
417;200;140;121;PROV417;x
418;189;177;209;PROV418;x
419;90;42;209;PROV419;x
420;75;108;129;PROV420;x
421;151;38;141;PROV421;x
422;235;101;111;PROV422;x
423;233;91;63;PROV423;x
424;247;55;86;PROV424;x
425;102;33;163;PROV425;x
426;172;38;181;PROV426;x
427;180;30;131;PROV427;x
428;155;123;225;PROV428;x
429;192;195;51;PROV429;x
430;239;103;229;PROV430;x
431;73;175;217;PROV431;x
432;143;148;180;PROV432;x
433;164;65;236;PROV433;x
434;53;175;104;PROV434;x
435;105;208;114;PROV435;x
436;64;117;174;PROV436;x
437;75;173;34;PROV437;x
438;58;150;108;PROV438;x
439;252;251;169;PROV439;x
440;171;72;161;PROV440;x
441;89;249;242;PROV441;x
442;89;204;135;PROV442;x
443;124;213;139;PROV443;x
444;199;156;109;PROV444;x
445;57;79;170;PROV445;x
446;140;158;107;PROV446;x
447;132;193;185;PROV447;x
448;225;45;54;PROV448;x
449;139;145;152;PROV449;x
450;40;248;248;PROV450;x
451;105;219;181;PROV451;x
452;117;45;34;PROV452;x
453;234;195;158;PROV453;x
454;64;91;165;PROV454;x
455;61;113;249;PROV455;x
456;253;225;201;PROV456;x
457;254;60;169;PROV457;x
458;83;211;85;PROV458;x
459;86;119;188;PROV459;x
460;110;240;97;PROV460;x
461;241;228;45;PROV461;x
462;234;124;192;PROV462;x
463;183;194;64;PROV463;x
464;166;161;217;PROV464;x
465;204;98;131;PROV465;x
466;49;193;186;PROV466;x
467;60;140;175;PROV467;x
468;206;40;217;PROV468;x
469;109;51;37;PROV469;x
470;125;60;181;PROV470;x
471;90;77;118;PROV471;x
472;87;100;60;PROV472;x
473;167;118;153;PROV473;x
474;206;133;143;PROV474;x
475;208;66;181;PROV475;x
476;32;80;129;PROV476;x
477;177;65;217;PROV477;x
478;82;155;102;PROV478;x
479;185;87;164;PROV479;x
480;137;95;38;PROV480;x
481;37;143;50;PROV481;x
482;43;154;140;PROV482;x
483;197;228;70;PROV483;x
484;144;68;177;PROV484;x
485;93;157;172;PROV485;x
486;148;172;248;PROV486;x
487;30;98;102;PROV487;x
488;110;168;41;PROV488;x
489;156;97;182;PROV489;x
490;171;157;42;PROV490;x
491;150;59;52;PROV491;x
492;145;198;245;PROV492;x
493;123;195;167;PROV493;x
494;70;89;107;PROV494;x
495;89;62;252;PROV495;x
496;70;243;252;PROV496;x
497;184;66;170;PROV497;x
498;170;137;252;PROV498;x
499;190;182;230;PROV499;x
500;38;141;86;PROV500;x
501;213;55;101;PROV501;x
502;154;203;214;PROV502;x
503;182;55;232;PROV503;x
504;111;215;38;PROV504;x
505;250;50;136;PROV505;x
506;44;116;109;PROV506;x
507;185;242;120;PROV507;x
508;126;235;177;PROV508;x
509;55;210;46;PROV509;x
510;44;114;83;PROV510;x
511;110;112;64;PROV511;x
512;35;61;68;PROV512;x
513;243;170;70;PROV513;x
514;67;31;41;PROV514;x
515;193;89;176;PROV515;x
516;243;194;161;PROV516;x
517;124;248;55;PROV517;x
518;232;57;68;PROV518;x
519;236;186;43;PROV519;x
520;116;128;247;PROV520;x
521;198;167;195;PROV521;x
522;178;30;133;PROV522;x
523;229;245;243;PROV523;x
524;97;56;200;PROV524;x
525;69;147;240;PROV525;x
526;108;188;175;PROV526;x
527;30;66;45;PROV527;x
528;139;175;120;PROV528;x
529;57;133;84;PROV529;x
530;250;54;130;PROV530;x
531;54;156;71;PROV531;x
532;77;124;118;PROV532;x
533;101;44;89;PROV533;x
534;73;44;204;PROV534;x
535;123;115;92;PROV535;x
536;232;88;247;PROV536;x
537;104;150;152;PROV537;x
538;79;233;220;PROV538;x
539;143;73;155;PROV539;x
540;158;246;52;PROV540;x
541;151;37;173;PROV541;x
542;116;212;52;PROV542;x
543;37;36;97;PROV543;x
544;153;202;195;PROV544;x
545;173;198;152;PROV545;x
546;132;185;71;PROV546;x
547;234;100;66;PROV547;x
548;126;251;149;PROV548;x
549;192;249;65;PROV549;x
550;239;59;238;PROV550;x
551;97;206;200;PROV551;x
552;143;185;150;PROV552;x
553;109;37;158;PROV553;x
554;69;165;121;PROV554;x
555;127;205;202;PROV555;x
556;211;160;65;PROV556;x
557;98;40;142;PROV557;x
558;113;179;176;PROV558;x
559;241;54;40;PROV559;x
560;54;179;217;PROV560;x
561;241;112;192;PROV561;x
562;166;86;251;PROV562;x
563;249;60;42;PROV563;x
564;31;53;178;PROV564;x
565;167;195;189;PROV565;x
566;199;254;75;PROV566;x
567;30;171;48;PROV567;x
568;125;238;57;PROV568;x
569;54;156;160;PROV569;x
570;139;85;112;PROV570;x
571;195;82;83;PROV571;x
572;183;216;149;PROV572;x
573;206;216;130;PROV573;x
574;52;96;241;PROV574;x
575;218;200;238;PROV575;x
576;242;72;55;PROV576;x
577;220;107;198;PROV577;x
578;58;39;130;PROV578;x
579;173;70;103;PROV579;x
580;224;225;158;PROV580;x
581;137;147;222;PROV581;x
582;96;227;142;PROV582;x
583;135;45;67;PROV583;x
584;181;249;49;PROV584;x
585;243;233;104;PROV585;x
586;61;162;67;PROV586;x
587;73;66;114;PROV587;x
588;135;174;232;PROV588;x
589;169;97;96;PROV589;x
590;142;40;176;PROV590;x
591;75;236;245;PROV591;x
592;226;170;204;PROV592;x
593;49;152;228;PROV593;x
594;126;136;56;PROV594;x
595;242;68;113;PROV595;x
596;179;139;38;PROV596;x
597;121;141;163;PROV597;x
598;65;181;188;PROV598;x
599;74;31;227;PROV599;x
600;245;181;159;PROV600;x
601;76;248;35;PROV601;x
602;58;47;93;PROV602;x
603;155;42;39;PROV603;x
604;93;201;185;PROV604;x
605;87;147;135;PROV605;x
606;88;51;153;PROV606;x
607;42;40;85;PROV607;x
608;87;181;168;PROV608;x
609;231;58;225;PROV609;x
610;98;79;143;PROV610;x
611;51;126;188;PROV611;x
612;100;150;122;PROV612;x
613;199;220;128;PROV613;x
614;153;226;234;PROV614;x
615;33;242;139;PROV615;x
616;121;126;191;PROV616;x
617;202;243;226;PROV617;x
618;136;133;125;PROV618;x
619;212;226;120;PROV619;x
620;179;179;239;PROV620;x
621;68;250;151;PROV621;x
622;71;66;50;PROV622;x
623;202;79;123;PROV623;x
624;119;143;86;PROV624;x
625;54;144;68;PROV625;x
626;105;83;194;PROV626;x
627;58;139;187;PROV627;x
628;63;151;91;PROV628;x
629;171;169;248;PROV629;x
630;92;142;179;PROV630;x
631;31;49;70;PROV631;x
632;144;115;231;PROV632;x
633;112;217;206;PROV633;x
634;118;174;76;PROV634;x
635;98;112;130;PROV635;x
636;170;112;244;PROV636;x
637;181;150;70;PROV637;x
638;90;154;151;PROV638;x
639;57;139;191;PROV639;x
640;199;117;123;PROV640;x
641;45;164;58;PROV641;x
642;91;247;121;PROV642;x
643;243;195;220;PROV643;x
644;140;220;68;PROV644;x
645;216;31;86;PROV645;x
646;33;35;35;PROV646;x
647;36;105;153;PROV647;x
648;30;93;110;PROV648;x
649;133;52;92;PROV649;x
650;84;91;64;PROV650;x
651;140;153;249;PROV651;x
652;36;155;202;PROV652;x
653;215;251;144;PROV653;x
654;81;193;210;PROV654;x
655;104;195;69;PROV655;x
656;89;129;153;PROV656;x
657;94;54;134;PROV657;x
658;186;192;42;PROV658;x
659;224;44;100;PROV659;x
660;203;212;225;PROV660;x
661;58;188;133;PROV661;x
662;185;30;97;PROV662;x
663;74;209;130;PROV663;x
664;138;73;39;PROV664;x
665;145;210;167;PROV665;x
666;198;180;153;PROV666;x
667;71;73;178;PROV667;x
668;193;245;67;PROV668;x
669;184;208;216;PROV669;x
670;237;67;141;PROV670;x
671;132;41;68;PROV671;x
672;174;52;35;PROV672;x
673;52;210;235;PROV673;x
674;125;70;237;PROV674;x
675;129;56;118;PROV675;x
676;202;162;169;PROV676;x
677;76;120;198;PROV677;x
678;96;31;77;PROV678;x
679;135;91;172;PROV679;x
680;244;36;61;PROV680;x
681;225;226;187;PROV681;x
682;162;121;37;PROV682;x
683;213;99;58;PROV683;x
684;34;171;64;PROV684;x
685;86;88;168;PROV685;x
686;234;137;41;PROV686;x
687;52;184;133;PROV687;x
688;154;127;187;PROV688;x
689;91;40;172;PROV689;x
690;147;121;209;PROV690;x
691;32;63;203;PROV691;x
692;204;154;99;PROV692;x
693;79;222;190;PROV693;x
694;111;244;93;PROV694;x
