###########################
# CHC nuclear Attack subs
###########################
# Model 1950
attack_submarine.0 = {
	unit_submarine_attack = 1
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 2
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 8
}
# Type 03-class
attack_submarine.1 = {
	unit_submarine_attack = 2
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 0
	closedefense = 1
	launcher_torpedotubes_533_650 = 1
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4	
	wikipage = /wiki/Whiskey_class_submarine
}
# Wuhan-class
attack_submarine.2 = {
	unit_submarine_attack = 3
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 2
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4	
	wikipage = /wiki/Romeo_class_submarine
}
# Model 1965
attack_submarine.3 = {
	unit_submarine_attack = 4
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 3
	closedefense = 0
	launcher_torpedotubes_533_650 = 5
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6	
}

# Model 1970
attack_submarine.4 = {
	unit_submarine_attack = 5
	sonarsystem = 4
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 4
	closedefense = 0
	launcher_torpedotubes_533_650 = 6
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6	
}
# Ming-class
attack_submarine.5 = {
	unit_submarine_attack = 6
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 6
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 2		
	wikipage = /wiki/Romeo_class_submarine
}
# Model 1980
attack_submarine.6 = {
	unit_submarine_attack = 7
	sonarsystem = 5
	towed_sonarsystem = 1
	propulsion_diesel_submarine = 5
	closedefense = 0
	launcher_torpedotubes_533_650 = 8
	hksubs_strikeoperations = 0
