###########################
# SOV  attack subs
###########################
# Srednaya-class
submarine.0 = {
	sonarsystem = 1
	propulsion_diesel_submarine = 0
	launcher_torpedotubes_533_650 = 0
	closedefense = 0
	allsubs_autonomousoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6	
	wikipage = /wiki/Soviet_S_class_submarine
}
# Zulu-class
attack_submarine.0 = {
	unit_submarine_attack = 1
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 0
	closedefense = 1
	launcher_torpedotubes_533_650 = 1
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Zulu_class_submarine
}
# Whiskey-class
attack_submarine.1 = {
	unit_submarine_attack = 2
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 0
	closedefense = 1
	launcher_torpedotubes_533_650 = 1
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 7	
	wikipage = /wiki/Whiskey_class_submarine
}
# Model 1955
attack_submarine.2 = {
	unit_submarine_attack = 3
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 3
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 8	
}
# Romeo-class
attack_submarine.3 = {
	unit_submarine_attack = 4
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 2
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4		
	wikipage = /wiki/Romeo_class_submarine
}
# Foxtrot-class
attack_submarine.4 = {
	unit_submarine_attack = 5
	sonarsystem = 2
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 2
	closedefense = 0
	launcher_torpedotubes_533_650 = 3
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
	hksubs-surfacesubs_satellitecommequipment = 0
	allsubs_silentoperations = 0	
	hullmaxslots = 0
	hullmaxsize = 4		
	wikipage = /wiki/Foxtrot_class_submarine
}
# Model 1965
attack_submarine.5 = {
	unit_submarine_attack = 6
	sonarsystem = 3
	towed_sonarsystem = 0
	propulsion_diesel_submarine = 3
	closedefense = 0
	launcher_torpedotubes_533_650 = 5
	hksubs_strikeoperations = 0
	allsubs_autonomousoperations = 0
	hksubs_submarineescorting = 0
	hksubs_surfacevesselescorting = 0
	hksubs_planning_dynamiccombattempotraining = 0
	hksubs-surfacesubs_sensoryandweaponscommand = 0
