########################
# SPA Submarines
########################
# General Sanjuro-class
submarine.0 = {
	sonarsystem = 1
	propulsion_diesel_submarine = 0
	launcher_torpedotubes_533_650 = 0
	closedefense = 0
	allsubs_autonomousoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 8		
	wikipage = /wiki/Archimede_class_submarine
}
# D-class
submarine.1 = {
	sonarsystem = 1
	propulsion_diesel_submarine = 0
	launcher_torpedotubes_533_650 = 2
	closedefense = 0
	allsubs_autonomousoperations = 0
	allsubs_silentoperations = 0
	hullmaxslots = 0
	hullmaxsize = 6		
}

########################
# SPA Missile Boats
########################
# Atrevida-class
missile_boat.0 = {
	unit_missileboat = 1
	radarsystem_airsearch = 1
	radarsystem_surfacesearch = 2
	sonarsystem = 2
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 1
	conventionalnavalgun = 2
	closedefense = 1
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 1
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 4
}
# Model 1960
missile_boat.1 = {
	unit_missileboat = 2
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 3
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 3
	conventionalnavalgun = 4
	closedefense = 4
	antishipmissile_shortrange = 2
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 4
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 16
}

# Model 1965
missile_boat.2 = {
	unit_missileboat = 3
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 3
	sonarsystem = 0
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 3
	conventionalnavalgun = 5
	closedefense = 5
	antishipmissile_shortrange = 3
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 5
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0	
	hullmaxslots = 0
	hullmaxsize = 13
}
# Joao Coutinho-class
missile_boat.3 = {
	unit_missileboat = 4
	radarsystem_airsearch = 0
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 5
	conventionalnavalgun = 2
	closedefense = 4
	antishipmissile_shortrange = 0
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 4
	launcher_torpedotubes_533_650 = 0	
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 5
	wikipage = /wiki/Joao_Coutinho_class_corvette
}
# Model 1975
missile_boat.4 = {
	unit_missileboat = 5
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 0
	propulsion_gas = 3
	propulsion_diesel_surface_40s = 0
	conventionalnavalgun = 7
	closedefense = 7
	antishipmissile_shortrange = 5
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antisub_torpedorocket = 7
	launcher_torpedotubes_533_650 = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0
	hullmaxslots = 0
	hullmaxsize = 21
}
# Descubierta-class
missile_boat.5 = {
	unit_missileboat = 6
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	propulsion_gas = 0	
	propulsion_diesel_surface_40s = 4
	conventionalnavalgun = 5
	closedefense = 6
	antishipmissile_shortrange = 5
	antiairmissile_mediumrange = 0
